half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,12,12,
1,19,44,Paul Gombwer makes a 3-point jump shot.,110992,,true,false,false,Paul,,Gombwer,,ChSou,,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,64,64,
1,19,15,Robert Gilchrist misses a jump shot.,116528,,true,false,false,Robert,,Gilchrist,,FlaSt,,0,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,12,12,
1,19,02,Personal foul committed by Boris Bojanovsky.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,0,3,0,1,1,,,,,0,,1,Personal,8,Foul,,,,12,12,
1,18,48,Paul Gombwer makes a 3-point jump shot.,110992,,true,false,false,Paul,,Gombwer,,ChSou,,0,6,0,1,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,64,64,
1,18,10,Boris Bojanovsky misses a jump shot.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,0,6,0,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,12,12,
1,18,05,Robert Gilchrist misses a layup shot.,116528,,true,false,false,Robert,,Gilchrist,,FlaSt,,0,6,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,12,12,
1,18,02,Devon Bookert misses a 3-point jump shot.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,0,6,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,12,12,
1,17,56,Jarquez Smith makes a layup shot.,120597,,true,false,false,Jarquez,,Smith,,FlaSt,,2,6,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,12,12,
1,17,13,Boris Bojanovsky misses a jump shot.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,2,6,0,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,12,12,
1,17,08,Boris Bojanovsky makes a layup shot.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,4,6,0,1,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,12,12,
1,16,50,Paul Gombwer misses a jump shot.,110992,,true,false,false,Paul,,Gombwer,,ChSou,,4,6,0,1,0,,,,,6,2,45,Jump Shot,4,Field Goal Missed,,,,64,64,
1,15,51,Montay Brandon makes a dunk shot.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,6,6,0,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,12,12,
1,15,36,Will Saunders misses a 3-point jump shot.,97997,,true,false,false,Will,,Saunders,,ChSou,,6,6,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,64,64,
1,15,27,Jarquez Smith makes a jump shot.,120597,,true,false,false,Jarquez,,Smith,,FlaSt,,8,6,0,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,12,12,
1,15,04,Sheldon Strickland misses a 3-point jump shot.,97812,,true,false,false,Sheldon,,Strickland,,ChSou,,8,6,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,64,64,
1,14,58,Devon Bookert makes a jump shot.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,10,6,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,12,12,
1,14,53,Ty'Quan Biting makes a layup shot.,121030,,true,false,false,Ty'Quan,,Biting,,ChSou,,10,8,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,64,64,
1,14,46,Official TV timeout.,,,false,false,false,,,,,,,10,8,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,12,12,
1,14,20,Ian Miller misses a 3-point jump shot.,97446,,true,false,false,Ian,,Miller,,FlaSt,,10,8,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,12,12,
1,14,13,Arlon Harper makes a 3-point jump shot.,111479,,true,false,false,Arlon,,Harper,,ChSou,,10,11,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,64,64,
1,13,50,Personal foul committed by Ty'Quan Biting.,121030,,true,false,false,Ty'Quan,,Biting,,ChSou,,10,11,1,1,1,,,,,2,,1,Personal,8,Foul,,,,64,64,
1,13,45,Ian Miller misses a 3-point jump shot.,97446,,true,false,false,Ian,,Miller,,FlaSt,,10,11,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,12,12,
1,13,42,Matt Kennedy misses a 3-point jump shot.,97813,,true,false,false,Matt,,Kennedy,,ChSou,,10,11,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,64,64,
1,13,30,Saah Nimley misses a 3-point jump shot.,110990,,true,false,false,Saah,,Nimley,,ChSou,,10,11,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,64,64,
1,13,16,Aaron Thomas misses a layup shot.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,10,11,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,12,12,
1,12,43,Saah Nimley misses a 3-point jump shot.,110990,,true,false,false,Saah,,Nimley,,ChSou,,10,11,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,64,64,
1,12,17,Robert Gilchrist misses a jump shot.,116528,,true,false,false,Robert,,Gilchrist,,FlaSt,,10,11,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,12,12,
1,12,00,Aaron Thomas makes a dunk shot.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,12,11,1,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,12,12,
1,11,21,Paul Gombwer misses a 3-point jump shot.,110992,,true,false,false,Paul,,Gombwer,,ChSou,,12,11,1,1,0,,,,,6,3,45,Jump Shot,4,Field Goal Missed,,,,64,64,
1,11,21,Official TV timeout.,,,false,false,false,,,,,,,12,11,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,12,12,
1,11,02,Ian Miller makes a layup shot.,97446,,true,false,false,Ian,,Miller,,FlaSt,,14,11,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,12,12,
1,10,33,Paul Gombwer misses a jump shot.,110992,,true,false,false,Paul,,Gombwer,,ChSou,,14,11,1,1,0,,,,,6,2,45,Jump Shot,4,Field Goal Missed,,,,64,64,
1,10,27,Saah Nimley makes a jump shot.,110990,,true,false,false,Saah,,Nimley,,ChSou,,14,13,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,64,64,
1,10,06,Ian Miller misses a 3-point jump shot.,97446,,true,false,false,Ian,,Miller,,FlaSt,,14,13,1,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,12,12,
1,9,35,Ian Miller misses a jump shot.,97446,,true,false,false,Ian,,Miller,,FlaSt,,14,13,1,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,12,12,
1,9,03,Shooting foul committed by Okaro White.,97445,,true,false,false,Okaro,,White,,FlaSt,,14,13,1,2,1,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,9,03,Arlon Harper makes free throw 1 of 2.,111479,,true,false,false,Arlon,,Harper,,ChSou,,14,14,1,2,0,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,64,64,
1,9,03,Arlon Harper misses free throw 2 of 2.,111479,,true,false,false,Arlon,,Harper,,ChSou,,14,14,1,2,0,,,,,4,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,64,64,
1,8,47,Okaro White makes a layup shot.,97445,,true,false,false,Okaro,,White,,FlaSt,,16,14,1,2,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,12,12,
