half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,16,16,
1,19,40,Mike Caffey misses a jump shot.,109562,,true,false,false,Mike,,Caffey,,LgBch,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,99,99,
1,19,35,Shooting foul committed by Mike Caffey.,109562,,true,false,false,Mike,,Caffey,,LgBch,,0,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,99,99,
1,19,35,Desmond Lee makes free throw 1 of 2.,97477,,true,false,false,Desmond,,Lee,,NCSU,,1,0,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,16,16,
1,19,35,Desmond Lee makes free throw 2 of 2.,97477,,true,false,false,Desmond,,Lee,,NCSU,,2,0,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,16,16,
1,19,16,David Samuels makes a layup shot.,121144,,true,false,false,David,,Samuels,,LgBch,,2,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,99,99,
1,18,38,Anthony Barber misses a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,2,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,18,31,Dan Jennings makes a layup shot.,88679,,true,false,false,Dan,,Jennings,,LgBch,,2,4,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,99,99,
1,18,10,Desmond Lee makes a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,4,4,1,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,17,47,A.J. Spencer makes a jump shot.,121145,,true,false,false,A.J.,,Spencer,,LgBch,,4,6,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,99,99,
1,17,25,Desmond Lee misses a 3-point jump shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,4,6,1,0,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,17,02,Anthony Barber misses a layup shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,4,6,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,16,16,
1,16,58,Personal foul committed by Desmond Lee.,97477,,true,false,false,Desmond,,Lee,,NCSU,,4,6,1,1,1,,,,,4,,1,Personal,8,Foul,,,,16,16,
1,16,42,Dan Jennings makes a hook shot.,88679,,true,false,false,Dan,,Jennings,,LgBch,,4,8,1,1,0,,,,,4,2,55,Hook Shot,3,Field Goal Made,,,,99,99,
1,16,22,Lennard Freeman makes a layup shot.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,6,8,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,16,09,Dan Jennings makes a hook shot.,88679,,true,false,false,Dan,,Jennings,,LgBch,,6,10,1,1,0,,,,,6,2,55,Hook Shot,3,Field Goal Made,,,,99,99,
1,15,45,Anthony Barber makes a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,8,10,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,15,26,T.J. Warren misses a 3-point jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,8,10,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,15,01,Desmond Lee misses a jump shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,8,10,1,1,1,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,15,01,Shooting foul committed by David Samuels.,121144,,true,false,false,David,,Samuels,,LgBch,,8,10,2,1,1,,,,,2,,2,Shooting,8,Foul,,,,99,99,
1,15,01,Official TV timeout.,,,false,false,false,,,,,,,8,10,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,15,01,Desmond Lee makes free throw 1 of 2.,97477,,true,false,false,Desmond,,Lee,,NCSU,,9,10,2,1,1,,,,,5,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,16,16,
1,15,01,Desmond Lee makes free throw 2 of 2.,97477,,true,false,false,Desmond,,Lee,,NCSU,,10,10,2,1,1,,,,,6,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,16,16,
1,14,41,Shooting foul committed by Kyle Washington.,120608,,true,false,false,Kyle,,Washington,,NCSU,,10,10,2,2,1,,,,,0,,2,Shooting,8,Foul,,,,16,16,
1,14,41,David Samuels makes free throw 1 of 2.,121144,,true,false,false,David,,Samuels,,LgBch,,10,11,2,2,1,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,99,99,
1,14,41,David Samuels makes free throw 2 of 2.,121144,,true,false,false,David,,Samuels,,LgBch,,10,12,2,2,1,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,99,99,
1,14,28,Kyle Washington misses a jump shot.,120608,,true,false,false,Kyle,,Washington,,NCSU,,10,12,2,2,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,14,12,A.J. Spencer misses a 3-point jump shot.,121145,,true,false,false,A.J.,,Spencer,,LgBch,,10,12,2,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,99,99,
1,13,54,T.J. Warren makes a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,12,12,2,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,13,24,David Samuels makes a layup shot.,121144,,true,false,false,David,,Samuels,,LgBch,,12,14,2,2,1,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,99,99,
1,12,59,Desmond Lee makes a 3-point jump shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,15,14,2,2,1,,,,,9,3,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,12,35,Mike Caffey misses a jump shot.,109562,,true,false,false,Mike,,Caffey,,LgBch,,15,14,2,2,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,99,99,
1,12,28,Anthony Barber makes a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,17,14,2,2,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,12,22,Shooting foul committed by Desmond Lee.,97477,,true,false,false,Desmond,,Lee,,NCSU,,17,14,2,3,2,,,,,9,,2,Shooting,8,Foul,,,,16,16,
1,12,22,Branford Jones makes free throw 1 of 2.,116218,,true,false,false,Branford,,Jones,,LgBch,,17,15,2,3,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,99,99,
1,12,22,Branford Jones makes free throw 2 of 2.,116218,,true,false,false,Branford,,Jones,,LgBch,,17,16,2,3,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,99,99,
1,12,04,Ralston Turner misses a jump shot.,97046,,true,false,false,Ralston,,Turner,,NCSU,,17,16,2,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,11,55,David Samuels makes a 3-point jump shot.,121144,,true,false,false,David,,Samuels,,LgBch,,17,19,2,3,1,,,,,9,3,45,Jump Shot,3,Field Goal Made,,,,99,99,
1,11,33,T.J. Warren makes a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,19,19,2,3,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,11,12,David Samuels misses a jump shot.,121144,,true,false,false,David,,Samuels,,LgBch,,19,19,2,3,1,,,,,9,2,45,Jump Shot,4,Field Goal Missed,,,,99,99,
1,11,12,Official TV timeout.,,,false,false,false,,,,,,,19,19,2,3,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,10,55,T.J. Warren misses a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,19,19,2,3,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,10,54,Personal foul committed by Dan Jennings.,88679,,true,false,false,Dan,,Jennings,,LgBch,,19,19,3,3,1,,,,,6,,1,Personal,8,Foul,,,,99,99,
1,10,14,Dan Jennings misses a jump shot.,88679,,true,false,false,Dan,,Jennings,,LgBch,,19,19,3,3,1,,,,,6,2,45,Jump Shot,4,Field Goal Missed,,,,99,99,
1,10,14,Personal foul committed by Kyle Washington.,120608,,true,false,false,Kyle,,Washington,,NCSU,,19,19,3,4,2,,,,,0,,1,Personal,8,Foul,,,,16,16,
1,10,02,Kris Gulley misses a jump shot.,109564,,true,false,false,Kris,,Gulley,,LgBch,,19,19,3,4,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,99,99,
1,10,00,Shooting foul committed by Tyler Lewis.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,19,19,3,5,1,,,,,0,,2,Shooting,8,Foul,,,,16,16,
1,10,00,Dan Jennings makes free throw 1 of 2.,88679,,true,false,false,Dan,,Jennings,,LgBch,,19,20,3,5,1,,,,,7,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,99,99,
1,10,00,Dan Jennings makes free throw 2 of 2.,88679,,true,false,false,Dan,,Jennings,,LgBch,,19,21,3,5,1,,,,,8,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,99,99,
1,9,39,T.J. Warren misses a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,19,21,3,5,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,9,33,Tyler Lewis misses a 3-point jump shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,19,21,3,5,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,9,23,David Samuels misses a 3-point jump shot.,121144,,true,false,false,David,,Samuels,,LgBch,,19,21,3,5,1,,,,,9,3,45,Jump Shot,4,Field Goal Missed,,,,99,99,
1,8,50,Lennard Freeman makes a layup shot.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,21,21,3,5,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
