half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,42,Justin Anderson makes a jump shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,19,32,Darion Atkins makes a jump shot.,109419,,true,false,false,Darion,,Atkins,,UVa,,4,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,16,09,Justin Anderson makes a 3-point jump shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,7,0,0,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,16,08,Nor take a full timeout.,,,false,false,false,,,,,,,7,0,0,0,0,,,,,0,,1,Regular,11,Timeout,,,,193,193,
1,15,54,Personal foul committed by London Perrantes.,120610,,true,false,false,London,,Perrantes,,UVa,,7,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,17,17,
1,15,52,Official TV timeout.,,,false,false,false,,,,,,,7,0,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
1,15,52,Malcolm Hawkins misses a 3-point jump shot.,89093,,true,false,false,Malcolm,,Hawkins,,Nor,,7,0,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,15,52,Malcolm Hawkins misses a jump shot.,89093,,true,false,false,Malcolm,,Hawkins,,Nor,,7,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,15,52,Anell Alexis misses a 3-point jump shot.,91407,,true,false,false,Anell,,Alexis,,Nor,,7,0,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,15,52,Jamel Fuentes misses a jump shot.,110920,,true,false,false,Jamel,,Fuentes,,Nor,,7,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,15,52,Malcolm Brogdon misses a jump shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,7,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,15,52,Jamel Fuentes makes free throw 1 of 2.,110920,,true,false,false,Jamel,,Fuentes,,Nor,,7,1,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,193,193,
1,15,52,Jamel Fuentes makes free throw 2 of 2.,110920,,true,false,false,Jamel,,Fuentes,,Nor,,7,2,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,193,193,
1,15,28,Joe Harris makes a jump shot.,97108,,true,false,false,Joe,,Harris,,UVa,,9,2,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,14,49,Malcolm Hawkins makes a jump shot.,89093,,true,false,false,Malcolm,,Hawkins,,Nor,,9,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,193,193,
1,14,16,Joe Harris misses a jump shot.,97108,,true,false,false,Joe,,Harris,,UVa,,9,4,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,14,05,Joe Harris makes a layup shot.,97108,,true,false,false,Joe,,Harris,,UVa,,11,4,0,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,17,17,
1,13,36,Personal foul committed by Malcolm Hawkins.,89093,,true,false,false,Malcolm,,Hawkins,,Nor,,11,4,1,1,1,,,,,2,,1,Personal,8,Foul,,,,193,193,
1,13,36,Personal foul committed by Anell Alexis.,91407,,true,false,false,Anell,,Alexis,,Nor,,11,4,2,1,1,,,,,0,,1,Personal,8,Foul,,,,193,193,
1,13,36,Personal foul committed by Justin Anderson.,116701,,true,false,false,Justin,,Anderson,,UVa,,11,4,2,2,1,,,,,5,,1,Personal,8,Foul,,,,17,17,
1,13,19,Joe Harris misses a 3-point jump shot.,97108,,true,false,false,Joe,,Harris,,UVa,,11,4,2,2,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,12,45,Marese Phelps misses a jump shot.,117573,,true,false,false,Marese,,Phelps,,Nor,,11,4,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,12,22,Malcolm Brogdon misses a 3-point jump shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,11,4,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,12,21,Personal foul committed by Anell Alexis.,91407,,true,false,false,Anell,,Alexis,,Nor,,11,4,3,2,2,,,,,0,,1,Personal,8,Foul,,,,193,193,
1,12,10,Evan Nolte makes a 3-point jump shot.,116699,,true,false,false,Evan,,Nolte,,UVa,,14,4,3,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,11,52,Brandon Goode makes a jump shot.,98400,,true,false,false,Brandon,,Goode,,Nor,,14,6,3,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,193,193,
1,11,34,Official TV timeout.,,,false,false,false,,,,,,,14,6,3,2,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
1,11,34,Personal foul committed by Riley Maye.,98401,,true,false,false,Riley,,Maye,,Nor,,14,6,4,2,1,,,,,0,,1,Personal,8,Foul,,,,193,193,
1,11,34,Akil Mitchell misses free throw 1 of 2.,97111,,true,false,false,Akil,,Mitchell,,UVa,,14,6,4,2,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,17,17,
1,11,34,Akil Mitchell misses free throw 2 of 2.,97111,,true,false,false,Akil,,Mitchell,,UVa,,14,6,4,2,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,17,17,
1,11,20,Pendarvis Williams misses a jump shot.,98398,,true,false,false,Pendarvis,,Williams,,Nor,,14,6,4,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,11,15,Brandon Goode makes a dunk shot.,98400,,true,false,false,Brandon,,Goode,,Nor,,14,8,4,2,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,193,193,
1,10,52,London Perrantes misses a 3-point jump shot.,120610,,true,false,false,London,,Perrantes,,UVa,,14,8,4,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,10,18,Pendarvis Williams misses a 3-point jump shot.,98398,,true,false,false,Pendarvis,,Williams,,Nor,,14,8,4,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,10,06,Mike Tobey misses a jump shot.,116698,,true,false,false,Mike,,Tobey,,UVa,,14,8,4,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,9,59,Akil Mitchell makes a jump shot.,97111,,true,false,false,Akil,,Mitchell,,UVa,,16,8,4,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,9,30,Marese Phelps misses a layup shot.,117573,,true,false,false,Marese,,Phelps,,Nor,,16,8,4,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,193,193,
1,9,19,Shooting foul committed by Brandon Goode.,98400,,true,false,false,Brandon,,Goode,,Nor,,16,8,5,2,1,,,,,4,,2,Shooting,8,Foul,,,,193,193,
1,9,19,Mike Tobey makes free throw 1 of 2.,116698,,true,false,false,Mike,,Tobey,,UVa,,17,8,5,2,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,17,17,
1,9,19,Mike Tobey misses free throw 2 of 2.,116698,,true,false,false,Mike,,Tobey,,UVa,,17,8,5,2,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,17,17,
1,8,57,Personal foul committed by Evan Nolte.,116699,,true,false,false,Evan,,Nolte,,UVa,,17,8,5,3,1,,,,,3,,1,Personal,8,Foul,,,,17,17,
1,8,30,Marese Phelps makes a jump shot.,117573,,true,false,false,Marese,,Phelps,,Nor,,17,10,5,3,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,193,193,
1,8,12,Offensive foul committed by Mike Tobey.,116698,,true,false,false,Mike,,Tobey,,UVa,,17,10,5,4,1,,,,,1,,4,Offensive,8,Foul,,,,17,17,
1,7,42,Pendarvis Williams makes a layup shot.,98398,,true,false,false,Pendarvis,,Williams,,Nor,,17,12,5,4,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,193,193,
1,7,29,Official TV timeout.,,,false,false,false,,,,,,,17,12,5,4,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
1,7,12,Shooting foul committed by Riley Maye.,98401,,true,false,false,Riley,,Maye,,Nor,,17,12,6,4,2,,,,,0,,2,Shooting,8,Foul,,,,193,193,
1,7,12,Joe Harris makes free throw 1 of 2.,97108,,true,false,false,Joe,,Harris,,UVa,,18,12,6,4,0,,,,,5,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,17,17,
1,7,12,Joe Harris misses free throw 2 of 2.,97108,,true,false,false,Joe,,Harris,,UVa,,18,12,6,4,0,,,,,5,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,17,17,
1,7,12,Malcolm Brogdon makes free throw 1st of 1-and-1.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,19,12,6,4,0,,,,,1,1,8,Free Throw 1st of 1-and-1,1,Free Throw Made,,,,17,17,
1,7,12,Malcolm Brogdon makes free throw 2nd of 1-and-1.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,20,12,6,4,0,,,,,2,1,9,Free Throw 2nd of 1-and-1,1,Free Throw Made,,,,17,17,
1,7,10,Personal foul committed by Jamel Fuentes.,110920,,true,false,false,Jamel,,Fuentes,,Nor,,20,12,7,4,1,,,,,2,,1,Personal,8,Foul,,,,193,193,
1,6,51,Malcolm Hawkins misses a jump shot.,89093,,true,false,false,Malcolm,,Hawkins,,Nor,,20,12,7,4,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,6,39,Darion Atkins makes a jump shot.,109419,,true,false,false,Darion,,Atkins,,UVa,,22,12,7,4,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,6,13,Shooting foul committed by Joe Harris.,97108,,true,false,false,Joe,,Harris,,UVa,,22,12,7,5,1,,,,,5,,2,Shooting,8,Foul,,,,17,17,
1,6,13,Jamel Fuentes makes free throw 1 of 2.,110920,,true,false,false,Jamel,,Fuentes,,Nor,,22,13,7,5,1,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,193,193,
1,6,13,Jamel Fuentes makes free throw 2 of 2.,110920,,true,false,false,Jamel,,Fuentes,,Nor,,22,14,7,5,1,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,193,193,
1,6,00,London Perrantes misses a 3-point jump shot.,120610,,true,false,false,London,,Perrantes,,UVa,,22,14,7,5,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,5,52,Pendarvis Williams makes a 3-point jump shot.,98398,,true,false,false,Pendarvis,,Williams,,Nor,,22,17,7,5,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,193,193,
1,5,46,Joe Harris makes free throw 1st of 1-and-1.,97108,,true,false,false,Joe,,Harris,,UVa,,23,17,7,5,1,,,,,6,1,8,Free Throw 1st of 1-and-1,1,Free Throw Made,,,,17,17,
1,5,46,Joe Harris makes free throw 2nd of 1-and-1.,97108,,true,false,false,Joe,,Harris,,UVa,,24,17,7,5,1,,,,,7,1,9,Free Throw 2nd of 1-and-1,1,Free Throw Made,,,,17,17,
1,5,45,Personal foul committed by Malcolm Hawkins.,89093,,true,false,false,Malcolm,,Hawkins,,Nor,,24,17,8,5,2,,,,,2,,1,Personal,8,Foul,,,,193,193,
1,5,24,Kievyn Lila-St. Rose misses a 3-point jump shot.,110919,,true,false,false,Kievyn,,Lila-St. Rose,,Nor,,24,17,8,5,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,5,20,Justin Anderson makes free throw 1 of 2.,116701,,true,false,false,Justin,,Anderson,,UVa,,25,17,8,5,1,,,,,6,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,17,17,
1,5,20,Justin Anderson makes free throw 2 of 2.,116701,,true,false,false,Justin,,Anderson,,UVa,,26,17,8,5,1,,,,,7,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,17,17,
1,5,18,Shooting foul committed by Pendarvis Williams.,98398,,true,false,false,Pendarvis,,Williams,,Nor,,26,17,9,5,1,,,,,5,,2,Shooting,8,Foul,,,,193,193,
1,5,03,Marese Phelps makes a layup shot.,117573,,true,false,false,Marese,,Phelps,,Nor,,26,19,9,5,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,193,193,
1,4,29,Justin Anderson misses a jump shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,26,19,9,5,1,,,,,7,2,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,4,21,Jamel Fuentes makes a layup shot.,110920,,true,false,false,Jamel,,Fuentes,,Nor,,26,21,9,5,1,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,193,193,
1,3,32,Marese Phelps misses a jump shot.,117573,,true,false,false,Marese,,Phelps,,Nor,,26,21,9,5,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,3,17,Shooting foul committed by Akil Mitchell.,97111,,true,false,false,Akil,,Mitchell,,UVa,,26,21,9,6,1,,,,,2,,2,Shooting,8,Foul,,,,17,17,
1,3,17,Official TV timeout.,,,false,false,false,,,,,,,26,21,9,6,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
1,3,17,Pendarvis Williams makes free throw 1 of 2.,98398,,true,false,false,Pendarvis,,Williams,,Nor,,26,22,9,6,1,,,,,6,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,193,193,
1,3,17,Pendarvis Williams makes free throw 2 of 2.,98398,,true,false,false,Pendarvis,,Williams,,Nor,,26,23,9,6,1,,,,,7,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,193,193,
1,2,50,Mike Tobey misses a layup shot.,116698,,true,false,false,Mike,,Tobey,,UVa,,26,23,9,6,1,,,,,1,2,40,Layup Shot,4,Field Goal Missed,,,,17,17,
1,2,25,Kievyn Lila-St. Rose misses a 3-point jump shot.,110919,,true,false,false,Kievyn,,Lila-St. Rose,,Nor,,26,23,9,6,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,2,01,Mike Tobey makes a hook shot.,116698,,true,false,false,Mike,,Tobey,,UVa,,28,23,9,6,1,,,,,3,2,55,Hook Shot,3,Field Goal Made,,,,17,17,
1,1,28,Jamel Fuentes misses a jump shot.,110920,,true,false,false,Jamel,,Fuentes,,Nor,,28,23,9,6,1,,,,,6,2,45,Jump Shot,4,Field Goal Missed,,,,193,193,
