half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,54,54,
1,19,45,QJ Peterson misses a 3-point jump shot.,121110,,true,false,false,QJ,,Peterson,,VMI,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,19,29,Marshall Wood makes a layup shot.,116704,,true,false,false,Marshall,,Wood,,VaTech,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,54,54,
1,19,14,D.J. Covington makes a jump shot.,97738,,true,false,false,D.J.,,Covington,,VMI,,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,274,274,
1,18,47,Jarell Eddie misses a hook shot.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,2,2,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,54,54,
1,18,40,Rodney Glasgow misses a jump shot.,97739,,true,false,false,Rodney,,Glasgow,,VMI,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,18,30,Jarell Eddie misses a layup shot.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,2,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,54,54,
1,18,24,QJ Peterson misses a 3-point jump shot.,121110,,true,false,false,QJ,,Peterson,,VMI,,2,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,18,14,Rodney Glasgow misses a 3-point jump shot.,97739,,true,false,false,Rodney,,Glasgow,,VMI,,2,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,18,06,Personal foul committed by D.J. Covington.,97738,,true,false,false,D.J.,,Covington,,VMI,,2,2,1,0,1,,,,,2,,1,Personal,8,Foul,,,,274,274,
1,18,01,Jarell Eddie makes a 3-point jump shot.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,5,2,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,54,54,
1,17,42,QJ Peterson misses a 3-point jump shot.,121110,,true,false,false,QJ,,Peterson,,VMI,,5,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,17,35,Devin Wilson makes a layup shot.,120763,,true,false,false,Devin,,Wilson,,VaTech,,7,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,54,54,
1,17,21,Rodney Glasgow makes a layup shot.,97739,,true,false,false,Rodney,,Glasgow,,VMI,,7,4,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,274,274,
1,16,45,D.J. Covington makes a layup shot.,97738,,true,false,false,D.J.,,Covington,,VMI,,7,6,1,0,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,274,274,
1,16,27,Trevor Thompson makes a layup shot.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,9,6,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,54,54,
1,16,16,Rodney Glasgow misses a 3-point jump shot.,97739,,true,false,false,Rodney,,Glasgow,,VMI,,9,6,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,16,09,Trevor Thompson misses a dunk shot.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,9,6,1,0,0,,,,,2,2,48,Dunk Shot,4,Field Goal Missed,,,,54,54,
1,16,00,Marshall Wood makes a 3-point jump shot.,116704,,true,false,false,Marshall,,Wood,,VaTech,,12,6,1,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,54,54,
1,15,47,Devin Wilson misses a layup shot.,120763,,true,false,false,Devin,,Wilson,,VaTech,,12,6,1,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,54,54,
1,15,46,Official TV timeout.,,,false,false,false,,,,,,,12,6,1,0,0,,,,,0,,3,Official TV,11,Timeout,,,,54,54,
1,15,24,Jordan Weethee misses a 3-point jump shot.,109537,,true,false,false,Jordan,,Weethee,,VMI,,12,6,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,15,10,Adam Smith misses a jump shot.,110601,,true,false,false,Adam,,Smith,,VaTech,,12,6,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,15,00,Trey Chapman misses a 3-point jump shot.,121108,,true,false,false,Trey,,Chapman,,VMI,,12,6,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,14,36,Marshall Wood misses a jump shot.,116704,,true,false,false,Marshall,,Wood,,VaTech,,12,6,1,0,0,,,,,5,2,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,14,28,Julian Eleby misses a 3-point jump shot.,121112,,true,false,false,Julian,,Eleby,,VMI,,12,6,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,14,16,Jarid Watson makes a dunk shot.,109536,,true,false,false,Jarid,,Watson,,VMI,,12,8,1,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,274,274,
1,14,01,Julian Eleby makes a layup shot.,121112,,true,false,false,Julian,,Eleby,,VMI,,12,10,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,274,274,
1,13,37,Ben Emelogu misses a 3-point jump shot.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,12,10,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,13,28,Rodney Glasgow misses a jump shot.,97739,,true,false,false,Rodney,,Glasgow,,VMI,,12,10,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,13,22,Personal foul committed by Rodney Glasgow.,97739,,true,false,false,Rodney,,Glasgow,,VMI,,12,10,2,0,1,,,,,2,,1,Personal,8,Foul,,,,274,274,
1,13,00,Ben Emelogu misses a 3-point jump shot.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,12,10,2,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,12,50,QJ Peterson makes a 3-point jump shot.,121110,,true,false,false,QJ,,Peterson,,VMI,,12,13,2,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,274,274,
1,12,20,C.J. Barksdale makes a jump shot.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,14,13,2,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,54,54,
1,12,06,Shooting foul committed by Jarell Eddie.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,14,13,2,1,1,,,,,3,,2,Shooting,8,Foul,,,,54,54,
1,12,06,Julian Eleby makes free throw 1 of 2.,121112,,true,false,false,Julian,,Eleby,,VMI,,14,14,2,1,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,274,274,
1,12,06,Julian Eleby misses free throw 2 of 2.,121112,,true,false,false,Julian,,Eleby,,VMI,,14,14,2,1,0,,,,,3,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,274,274,
