half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,45,Pat Connaughton misses a 3-point jump shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,19,12,Robert Hatter misses a jump shot.,121312,,true,false,false,Robert,,Hatter,,Cor,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,148,148,
1,18,56,Demetrius Jackson misses a jump shot.,120755,,true,false,false,Demetrius,,Jackson,,ND,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,18,33,Nolan Cressler makes a 3-point jump shot.,116330,,true,false,false,Nolan,,Cressler,,Cor,,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,148,148,
1,18,17,Eric Atkins misses a jump shot.,97478,,true,false,false,Eric,,Atkins,,ND,,0,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,18,11,Robert Hatter makes a 3-point jump shot.,121312,,true,false,false,Robert,,Hatter,,Cor,,0,6,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,148,148,
1,17,52,Garrick Sherman misses a jump shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,0,6,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,17,44,Pat Connaughton misses a layup shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,0,6,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,17,23,Nolan Cressler makes a layup shot.,116330,,true,false,false,Nolan,,Cressler,,Cor,,0,8,0,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,148,148,
1,16,57,Personal foul committed by Dwight Tarwater.,98236,,true,false,false,Dwight,,Tarwater,,Cor,,0,8,1,0,1,,,,,0,,1,Personal,8,Foul,,,,148,148,
1,16,54,Demetrius Jackson makes a 3-point jump shot.,120755,,true,false,false,Demetrius,,Jackson,,ND,,3,8,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,16,26,Devin Cherry misses a 3-point jump shot.,109730,,true,false,false,Devin,,Cherry,,Cor,,3,8,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,148,148,
1,16,15,Nolan Cressler misses a jump shot.,116330,,true,false,false,Nolan,,Cressler,,Cor,,3,8,1,0,0,,,,,5,2,45,Jump Shot,4,Field Goal Missed,,,,148,148,
1,16,06,Eric Atkins makes a layup shot.,97478,,true,false,false,Eric,,Atkins,,ND,,5,8,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,15,54,Robert Hatter misses a jump shot.,121312,,true,false,false,Robert,,Hatter,,Cor,,5,8,1,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,148,148,
1,15,47,Eric Atkins misses a layup shot.,97478,,true,false,false,Eric,,Atkins,,ND,,5,8,1,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,15,31,Pat Connaughton misses a 3-point jump shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,8,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,14,58,Deion Giddens misses a layup shot.,109732,,true,false,false,Deion,,Giddens,,Cor,,5,8,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,148,148,
1,14,51,Garrick Sherman makes a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,7,8,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,14,30,Devin Cherry misses a jump shot.,109730,,true,false,false,Devin,,Cherry,,Cor,,7,8,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,148,148,
1,14,26,Deion Giddens misses a layup shot.,109732,,true,false,false,Deion,,Giddens,,Cor,,7,8,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,148,148,
1,14,17,Pat Connaughton makes a 3-point jump shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,10,8,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,13,47,Personal foul committed by Jerian Grant.,97480,,true,false,false,Jerian,,Grant,,ND,,10,8,1,1,1,,,,,0,,1,Personal,8,Foul,,,,46,46,
1,13,47,Official TV timeout.,,,false,false,false,,,,,,,10,8,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
1,13,47,Nolan Cressler misses free throw 1 of 2.,116330,,true,false,false,Nolan,,Cressler,,Cor,,10,8,1,1,0,,,,,5,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,148,148,
1,13,47,Nolan Cressler makes free throw 2 of 2.,116330,,true,false,false,Nolan,,Cressler,,Cor,,10,9,1,1,0,,,,,6,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,148,148,
1,13,33,Demetrius Jackson misses a jump shot.,120755,,true,false,false,Demetrius,,Jackson,,ND,,10,9,1,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,13,26,Shooting foul committed by David Onuorah.,121310,,true,false,false,David,,Onuorah,,Cor,,10,9,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,148,148,
1,13,26,Zach Auguste misses free throw 1 of 2.,116591,,true,false,false,Zach,,Auguste,,ND,,10,9,2,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,46,46,
1,13,26,Zach Auguste makes free throw 2 of 2.,116591,,true,false,false,Zach,,Auguste,,ND,,11,9,2,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,46,46,
1,13,04,Jake Matthews misses a 3-point jump shot.,98235,,true,false,false,Jake,,Matthews,,Cor,,11,9,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,148,148,
1,12,46,Pat Connaughton makes a 3-point jump shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,14,9,2,1,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,12,25,Dominick Scelfo makes a 3-point jump shot.,98234,,true,false,false,Dominick,,Scelfo,,Cor,,14,12,2,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,148,148,
1,11,33,Official TV timeout.,,,false,false,false,,,,,,,14,12,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
