half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,16,16,
1,19,46,Shooting foul committed by Eric Stutz.,109879,,true,false,false,Eric,,Stutz,,EastKy,,0,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,228,228,
1,19,46,Desmond Lee makes free throw 1 of 2.,97477,,true,false,false,Desmond,,Lee,,NCSU,,1,0,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,16,16,
1,19,46,Desmond Lee makes free throw 2 of 2.,97477,,true,false,false,Desmond,,Lee,,NCSU,,2,0,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,16,16,
1,19,31,Marcus Lewis makes a layup shot.,117203,,true,false,false,Marcus,,Lewis,,EastKy,,2,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,228,228,
1,19,04,T.J. Warren misses a 3-point jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,18,29,Marcus Lewis misses a 3-point jump shot.,117203,,true,false,false,Marcus,,Lewis,,EastKy,,2,2,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,228,228,
1,18,22,T.J. Warren makes a layup shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,4,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,18,02,Personal foul committed by Jordan Vandenberg.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,4,2,1,1,1,,,,,0,,1,Personal,8,Foul,,,,16,16,
1,17,40,Tarius Johnson misses a 3-point jump shot.,117204,,true,false,false,Tarius,,Johnson,,EastKy,,4,2,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,228,228,
1,17,23,Offensive foul committed by T.J. Warren.,116007,,true,false,false,T.J.,,Warren,,NCSU,,4,2,1,2,1,,,,,2,,4,Offensive,8,Foul,,,,16,16,
1,17,08,Corey Walden makes a 3-point jump shot.,98461,,true,false,false,Corey,,Walden,,EastKy,,4,5,1,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,228,228,
1,16,35,Jordan Vandenberg makes a dunk shot.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,6,5,1,2,1,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,16,16,
1,16,13,Tarius Johnson misses a 3-point jump shot.,117204,,true,false,false,Tarius,,Johnson,,EastKy,,6,5,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,228,228,
1,16,00,Marcus Lewis makes a layup shot.,117203,,true,false,false,Marcus,,Lewis,,EastKy,,6,7,1,2,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,228,228,
1,15,26,T.J. Warren misses a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,6,7,1,2,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,15,12,Shooting foul committed by Corey Walden.,98461,,true,false,false,Corey,,Walden,,EastKy,,6,7,2,2,1,,,,,3,,2,Shooting,8,Foul,,,,228,228,
1,15,12,Official TV timeout.,,,false,false,false,,,,,,,6,7,2,2,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,15,12,Lennard Freeman misses free throw 1 of 2.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,6,7,2,2,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,16,16,
1,15,12,Lennard Freeman misses free throw 2 of 2.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,6,7,2,2,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,16,16,
1,14,58,Orlando Williams misses a 3-point jump shot.,88854,,true,false,false,Orlando,,Williams,,EastKy,,6,7,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,228,228,
1,14,40,Personal foul committed by Tarius Johnson.,117204,,true,false,false,Tarius,,Johnson,,EastKy,,6,7,3,2,1,,,,,0,,1,Personal,8,Foul,,,,228,228,
1,14,15,Anthony Barber misses a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,6,7,3,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,14,07,Ralston Turner misses a 3-point jump shot.,97046,,true,false,false,Ralston,,Turner,,NCSU,,6,7,3,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,13,56,Glenn Cosey misses a 3-point jump shot.,117201,,true,false,false,Glenn,,Cosey,,EastKy,,6,7,3,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,228,228,
1,13,38,Glenn Cosey makes a layup shot.,117201,,true,false,false,Glenn,,Cosey,,EastKy,,6,9,3,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,228,228,
1,13,15,T.J. Warren misses a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,6,9,3,2,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,13,08,Glenn Cosey misses a jump shot.,117201,,true,false,false,Glenn,,Cosey,,EastKy,,6,9,3,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,228,228,
1,13,05,Jeff Johnson makes a tip shot.,97839,,true,false,false,Jeff,,Johnson,,EastKy,,6,11,3,2,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,,,,228,228,
1,12,49,Anthony Barber misses a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,6,11,3,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,12,39,Glenn Cosey misses a 3-point jump shot.,117201,,true,false,false,Glenn,,Cosey,,EastKy,,6,11,3,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,228,228,
1,12,20,Personal foul committed by Orlando Williams.,88854,,true,false,false,Orlando,,Williams,,EastKy,,6,11,4,2,1,,,,,0,,1,Personal,8,Foul,,,,228,228,
1,11,55,Tyler Lewis makes a jump shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,8,11,4,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,11,33,Jeff Johnson makes a 3-point jump shot.,97839,,true,false,false,Jeff,,Johnson,,EastKy,,8,14,4,2,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,228,228,
1,11,32,EastKy take a 20-second timeout.,,,false,false,false,,,,,,,8,14,4,2,0,,,,,0,,2,Short,11,Timeout,,,,228,228,
1,11,15,Official TV timeout.,,,false,false,false,,,,,,,8,14,4,2,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,10,40,Orlando Williams misses a 3-point jump shot.,88854,,true,false,false,Orlando,,Williams,,EastKy,,8,14,4,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,228,228,
1,10,17,Tyler Lewis makes a jump shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,10,14,4,2,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,9,55,Corey Walden misses a layup shot.,98461,,true,false,false,Corey,,Walden,,EastKy,,10,14,4,2,1,,,,,3,2,40,Layup Shot,4,Field Goal Missed,,,,228,228,
1,9,49,Corey Walden makes a layup shot.,98461,,true,false,false,Corey,,Walden,,EastKy,,10,16,4,2,1,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,228,228,
1,9,34,Tyler Lewis misses a 3-point jump shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,10,16,4,2,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,9,29,T.J. Warren misses a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,10,16,4,2,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,9,07,Glenn Cosey misses a jump shot.,117201,,true,false,false,Glenn,,Cosey,,EastKy,,10,16,4,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,228,228,
1,8,58,Ralston Turner misses a jump shot.,97046,,true,false,false,Ralston,,Turner,,NCSU,,10,16,4,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,8,28,Timmy Knipp makes a 3-point jump shot.,109876,,true,false,false,Timmy,,Knipp,,EastKy,,10,19,4,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,228,228,
1,8,12,Ralston Turner misses a 3-point jump shot.,97046,,true,false,false,Ralston,,Turner,,NCSU,,10,19,4,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,8,04,Orlando Williams misses a layup shot.,88854,,true,false,false,Orlando,,Williams,,EastKy,,10,19,4,2,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,228,228,
1,7,55,T.J. Warren misses a 3-point jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,10,19,4,2,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,7,43,Tyler Lewis makes a jump shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,12,19,4,2,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,7,43,Shooting foul committed by Glenn Cosey.,117201,,true,false,false,Glenn,,Cosey,,EastKy,,12,19,5,2,1,,,,,2,,2,Shooting,8,Foul,,,,228,228,
1,7,43,Official TV timeout.,,,false,false,false,,,,,,,12,19,5,2,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,7,43,Tyler Lewis misses free throw 1 of 1.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,12,19,5,2,0,,,,,6,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,16,16,
1,7,07,Glenn Cosey misses a 3-point jump shot.,117201,,true,false,false,Glenn,,Cosey,,EastKy,,12,19,5,2,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,228,228,
1,6,47,Ralston Turner misses a jump shot.,97046,,true,false,false,Ralston,,Turner,,NCSU,,12,19,5,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,6,26,Kyle Washington misses a jump shot.,120608,,true,false,false,Kyle,,Washington,,NCSU,,12,19,5,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
