half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,54,54,
1,19,38,Devin Wilson misses a 3-point jump shot.,120763,,true,false,false,Devin,,Wilson,,VaTech,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,19,12,Stephen Croone makes a jump shot.,117534,,true,false,false,Stephen,,Croone,,Furman,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,270,270,
1,19,02,Adam Smith makes a 3-point jump shot.,110601,,true,false,false,Adam,,Smith,,VaTech,,3,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,54,54,
1,18,41,Larry Wideman misses a 3-point jump shot.,117535,,true,false,false,Larry,,Wideman,,Furman,,3,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,270,270,
1,18,26,Adam Smith misses a 3-point jump shot.,110601,,true,false,false,Adam,,Smith,,VaTech,,3,2,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,18,07,Stephen Croone misses a 3-point jump shot.,117534,,true,false,false,Stephen,,Croone,,Furman,,3,2,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,270,270,
1,17,53,Jarell Eddie makes a 3-point jump shot.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,6,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,54,54,
1,17,31,Shooting foul committed by Adam Smith.,110601,,true,false,false,Adam,,Smith,,VaTech,,6,2,0,1,1,,,,,3,,2,Shooting,8,Foul,,,,54,54,
1,17,31,Stephen Croone misses free throw 1 of 2.,117534,,true,false,false,Stephen,,Croone,,Furman,,6,2,0,1,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,270,270,
1,17,31,Stephen Croone makes free throw 2 of 2.,117534,,true,false,false,Stephen,,Croone,,Furman,,6,3,0,1,0,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,270,270,
1,17,14,C.J. Barksdale makes a jump shot.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,8,3,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,54,54,
1,16,42,Kendrec Ferrara misses a hook shot.,117536,,true,false,false,Kendrec,,Ferrara,,Furman,,8,3,0,1,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,270,270,
1,16,41,Kendrec Ferrara misses a jump shot.,117536,,true,false,false,Kendrec,,Ferrara,,Furman,,8,3,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,270,270,
1,15,59,Stephen Croone misses a jump shot.,117534,,true,false,false,Stephen,,Croone,,Furman,,8,3,0,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,270,270,
1,15,54,Jarell Eddie misses a 3-point jump shot.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,8,3,0,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,15,47,Jarell Eddie makes a layup shot.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,10,3,0,1,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,54,54,
1,15,31,Personal foul committed by Jarell Eddie.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,10,3,0,2,1,,,,,5,,1,Personal,8,Foul,,,,54,54,
1,15,31,Official TV timeout.,,,false,false,false,,,,,,,10,3,0,2,0,,,,,0,,3,Official TV,11,Timeout,,,,54,54,
1,15,25,William Gates Jr. misses a jump shot.,121722,,true,false,false,William,,Gates Jr.,,Furman,,10,3,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,270,270,
1,15,09,C.J. Barksdale misses a jump shot.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,10,3,0,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,14,28,C.J. Barksdale misses a 3-point jump shot.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,10,3,0,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,14,15,Stephen Croone misses a 3-point jump shot.,117534,,true,false,false,Stephen,,Croone,,Furman,,10,3,0,2,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,270,270,
1,14,10,Offensive foul committed by C.J. Barksdale.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,10,3,0,3,1,,,,,2,,4,Offensive,8,Foul,,,,54,54,
1,13,44,Shooting foul committed by William Gates Jr..,121722,,true,false,false,William,,Gates Jr.,,Furman,,10,3,1,3,1,,,,,0,,2,Shooting,8,Foul,,,,270,270,
1,13,44,Devin Wilson makes free throw 1 of 2.,120763,,true,false,false,Devin,,Wilson,,VaTech,,11,3,1,3,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,54,54,
