half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,16,16,
1,19,32,Ralston Turner misses a jump shot.,97046,,true,false,false,Ralston,,Turner,,NCSU,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,19,14,Tab Hamilton makes a 3-point jump shot.,109743,,true,false,false,Tab,,Hamilton,,App,,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,265,265,
1,18,55,T.J. Warren misses a 3-point jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,0,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,18,22,Desmond Lee makes a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,2,3,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,18,01,Tab Hamilton misses a jump shot.,109743,,true,false,false,Tab,,Hamilton,,App,,2,3,0,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,265,265,
1,17,55,Ralston Turner misses a 3-point jump shot.,97046,,true,false,false,Ralston,,Turner,,NCSU,,2,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,17,51,Desmond Lee makes a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,4,3,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,17,32,Tab Hamilton misses a 3-point jump shot.,109743,,true,false,false,Tab,,Hamilton,,App,,4,3,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,265,265,
1,17,26,Tyler Lewis misses a 3-point jump shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,4,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,17,26,Tyler Lewis misses a 3-point jump shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,4,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,17,18,Tab Hamilton makes a jump shot.,109743,,true,false,false,Tab,,Hamilton,,App,,4,5,0,0,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,265,265,
1,16,42,Tyler Lewis misses a jump shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,4,5,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,16,24,Tab Hamilton makes a jump shot.,109743,,true,false,false,Tab,,Hamilton,,App,,4,7,0,0,0,,,,,7,2,45,Jump Shot,3,Field Goal Made,,,,265,265,
1,16,14,Tyler Lewis makes a 3-point jump shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,7,7,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,15,53,Tyler Lewis makes a layup shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,9,7,0,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,15,36,Personal foul committed by Kyle Washington.,120608,,true,false,false,Kyle,,Washington,,NCSU,,9,7,0,1,1,,,,,0,,1,Personal,8,Foul,,,,16,16,
1,15,36,Official TV timeout.,,,false,false,false,,,,,,,9,7,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,15,28,Tevin Baskin misses a 3-point jump shot.,97974,,true,false,false,Tevin,,Baskin,,App,,9,7,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,265,265,
1,15,21,Desmond Lee makes a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,11,7,0,1,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,15,08,Offensive foul committed by Tab Hamilton.,109743,,true,false,false,Tab,,Hamilton,,App,,11,7,1,1,1,,,,,7,,4,Offensive,8,Foul,,,,265,265,
1,14,54,Desmond Lee misses a 3-point jump shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,11,7,1,1,0,,,,,6,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,14,49,Personal foul committed by Tommy Spagnolo.,88336,,true,false,false,Tommy,,Spagnolo,,App,,11,7,2,1,1,,,,,0,,1,Personal,8,Foul,,,,265,265,
1,14,34,T.J. Warren misses a layup shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,11,7,2,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,16,16,
1,14,27,Shooting foul committed by Ralston Turner.,97046,,true,false,false,Ralston,,Turner,,NCSU,,11,7,2,2,1,,,,,0,,2,Shooting,8,Foul,,,,16,16,
1,14,27,Tevin Baskin makes free throw 1 of 2.,97974,,true,false,false,Tevin,,Baskin,,App,,11,8,2,2,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,265,265,
1,14,27,Tevin Baskin makes free throw 2 of 2.,97974,,true,false,false,Tevin,,Baskin,,App,,11,9,2,2,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,265,265,
1,14,04,Ralston Turner makes a jump shot.,97046,,true,false,false,Ralston,,Turner,,NCSU,,13,9,2,2,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,14,04,Shooting foul committed by Mike Neal.,109951,,true,false,false,Mike,,Neal,,App,,13,9,3,2,1,,,,,0,,2,Shooting,8,Foul,,,,265,265,
1,14,04,Ralston Turner misses free throw 1 of 1.,97046,,true,false,false,Ralston,,Turner,,NCSU,,13,9,3,2,1,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,16,16,
1,13,59,Frank Eaves misses a jump shot.,117133,,true,false,false,Frank,,Eaves,,App,,13,9,3,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,265,265,
1,13,39,Tab Hamilton misses a jump shot.,109743,,true,false,false,Tab,,Hamilton,,App,,13,9,3,2,1,,,,,7,2,45,Jump Shot,4,Field Goal Missed,,,,265,265,
1,13,26,Mike Neal makes a jump shot.,109951,,true,false,false,Mike,,Neal,,App,,13,11,3,2,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,265,265,
1,13,05,Personal foul committed by Ralston Turner.,97046,,true,false,false,Ralston,,Turner,,NCSU,,13,11,3,3,2,,,,,2,,1,Personal,8,Foul,,,,16,16,
1,12,56,Offensive foul committed by Tevin Baskin.,97974,,true,false,false,Tevin,,Baskin,,App,,13,11,4,3,1,,,,,2,,4,Offensive,8,Foul,,,,265,265,
1,12,31,Personal foul committed by Chris Burgess.,117132,,true,false,false,Chris,,Burgess,,App,,13,11,5,3,1,,,,,0,,1,Personal,8,Foul,,,,265,265,
1,12,28,Personal foul committed by Frank Eaves.,117133,,true,false,false,Frank,,Eaves,,App,,13,11,6,3,1,,,,,0,,1,Personal,8,Foul,,,,265,265,
1,12,08,Anthony Barber makes a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,15,11,6,3,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,11,47,Official TV timeout.,,,false,false,false,,,,,,,15,11,6,3,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,11,45,T.J. Warren makes a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,17,11,6,3,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
