half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,14,14,
1,19,30,Cedric Blossom misses a layup shot.,116362,,true,false,false,Cedric,,Blossom,,Morgan,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,192,192,
1,19,24,Ian Chiles makes a layup shot.,98382,,true,false,false,Ian,,Chiles,,Morgan,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,192,192,
1,19,05,Shooting foul committed by Nick Faust.,110907,,true,false,false,Nick,,Faust,,MD,,0,2,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,14,14,
1,19,05,Anthony Hubbard misses free throw 1 of 2.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,0,2,0,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,192,192,
1,19,05,Anthony Hubbard makes free throw 2 of 2.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,0,3,0,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,192,192,
1,18,48,Evan Smotrycz makes a 3-point jump shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,3,3,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,14,14,
1,18,36,Ian Chiles makes a jump shot.,98382,,true,false,false,Ian,,Chiles,,Morgan,,3,5,0,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,192,192,
1,18,25,Dez Wells misses a layup shot.,109448,,true,false,false,Dez,,Wells,,MD,,3,5,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,14,14,
1,17,55,Jake Layman makes a dunk shot.,116731,,true,false,false,Jake,,Layman,,MD,,5,5,0,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,14,14,
1,17,42,Blake Bozeman misses a 3-point jump shot.,112208,,true,false,false,Blake,,Bozeman,,Morgan,,5,5,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,192,192,
1,17,32,Anthony Hubbard misses a layup shot.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,5,5,0,1,0,,,,,1,2,40,Layup Shot,4,Field Goal Missed,,,,192,192,
1,17,28,Nick Faust makes a layup shot.,110907,,true,false,false,Nick,,Faust,,MD,,7,5,0,1,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,14,14,
1,17,13,Nick Faust makes a dunk shot.,110907,,true,false,false,Nick,,Faust,,MD,,9,5,0,1,1,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,14,14,
1,16,36,Shaquille Cleare makes a dunk shot.,116734,,true,false,false,Shaquille,,Cleare,,MD,,11,5,0,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,14,14,
1,16,25,Anthony Hubbard misses a layup shot.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,11,5,0,1,0,,,,,1,2,40,Layup Shot,4,Field Goal Missed,,,,192,192,
1,16,12,Dez Wells makes a 3-point jump shot.,109448,,true,false,false,Dez,,Wells,,MD,,14,5,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,14,14,
1,15,44,Official TV timeout.,,,false,false,false,,,,,,,14,5,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,14,14,
1,15,36,Shaquille Duncan makes a layup shot.,110322,,true,false,false,Shaquille,,Duncan,,Morgan,,14,7,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,192,192,
1,15,23,Shooting foul committed by Ian Chiles.,98382,,true,false,false,Ian,,Chiles,,Morgan,,14,7,1,1,1,,,,,4,,2,Shooting,8,Foul,,,,192,192,
1,15,23,Evan Smotrycz makes free throw 1 of 2.,97334,,true,false,false,Evan,,Smotrycz,,MD,,15,7,1,1,0,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,14,14,
1,15,23,Evan Smotrycz misses free throw 2 of 2.,97334,,true,false,false,Evan,,Smotrycz,,MD,,15,7,1,1,0,,,,,4,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,14,14,
1,15,12,Justin Black misses a 3-point jump shot.,98381,,true,false,false,Justin,,Black,,Morgan,,15,7,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,192,192,
1,14,49,Jake Layman misses a 3-point jump shot.,116731,,true,false,false,Jake,,Layman,,MD,,15,7,1,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,14,30,Donte Pretlow misses a 3-point jump shot.,116361,,true,false,false,Donte,,Pretlow,,Morgan,,15,7,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,192,192,
1,14,30,Personal foul committed by Shaquille Duncan.,110322,,true,false,false,Shaquille,,Duncan,,Morgan,,15,7,2,1,1,,,,,2,,1,Personal,8,Foul,,,,192,192,
1,14,20,Nick Faust misses a layup shot.,110907,,true,false,false,Nick,,Faust,,MD,,15,7,2,1,1,,,,,4,2,40,Layup Shot,4,Field Goal Missed,,,,14,14,
1,14,11,Shaquille Duncan misses a layup shot.,110322,,true,false,false,Shaquille,,Duncan,,Morgan,,15,7,2,1,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,192,192,
1,14,06,Personal foul committed by Blake Bozeman.,112208,,true,false,false,Blake,,Bozeman,,Morgan,,15,7,3,1,1,,,,,0,,1,Personal,8,Foul,,,,192,192,
1,13,41,Ian Chiles misses a jump shot.,98382,,true,false,false,Ian,,Chiles,,Morgan,,15,7,3,1,1,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,192,192,
1,13,36,Justin Black misses a jump shot.,98381,,true,false,false,Justin,,Black,,Morgan,,15,7,3,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,192,192,
1,13,31,Shooting foul committed by Emmanuel Matey.,122035,,true,false,false,Emmanuel,,Matey,,Morgan,,15,7,4,1,1,,,,,0,,2,Shooting,8,Foul,,,,192,192,
1,13,31,Roddy Peters makes free throw 1 of 2.,120753,,true,false,false,Roddy,,Peters,,MD,,16,7,4,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,14,14,
1,13,31,Roddy Peters makes free throw 2 of 2.,120753,,true,false,false,Roddy,,Peters,,MD,,17,7,4,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,14,14,
1,13,13,Ian Chiles misses a hook shot.,98382,,true,false,false,Ian,,Chiles,,Morgan,,17,7,4,1,1,,,,,4,2,55,Hook Shot,4,Field Goal Missed,,,,192,192,
1,12,58,Damonte Dodd makes a layup shot.,120751,,true,false,false,Damonte,,Dodd,,MD,,19,7,4,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,14,14,
1,12,45,Ian Chiles makes a jump shot.,98382,,true,false,false,Ian,,Chiles,,Morgan,,19,9,4,1,1,,,,,6,2,45,Jump Shot,3,Field Goal Made,,,,192,192,
1,12,30,MD take a 20-second timeout.,,,false,false,false,,,,,,,19,9,4,1,0,,,,,0,,2,Short,11,Timeout,,,,14,14,
1,12,20,Jake Layman makes a 3-point jump shot.,116731,,true,false,false,Jake,,Layman,,MD,,22,9,4,1,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,14,14,
1,11,53,Emmanuel Matey misses a 3-point jump shot.,122035,,true,false,false,Emmanuel,,Matey,,Morgan,,22,9,4,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,192,192,
1,11,46,Ian Chiles misses a layup shot.,98382,,true,false,false,Ian,,Chiles,,Morgan,,22,9,4,1,1,,,,,6,2,40,Layup Shot,4,Field Goal Missed,,,,192,192,
1,11,40,Jake Layman misses a 3-point jump shot.,116731,,true,false,false,Jake,,Layman,,MD,,22,9,4,1,0,,,,,5,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,11,39,Official TV timeout.,,,false,false,false,,,,,,,22,9,4,1,0,,,,,0,,3,Official TV,11,Timeout,,,,14,14,
1,11,25,Varun Ram misses a 3-point jump shot.,117981,,true,false,false,Varun,,Ram,,MD,,22,9,4,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,11,06,Evan Smotrycz misses a 3-point jump shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,22,9,4,1,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,10,43,Shooting foul committed by Evan Smotrycz.,97334,,true,false,false,Evan,,Smotrycz,,MD,,21,9,4,2,1,,,,,4,,2,Shooting,8,Foul,,,,14,14,
1,10,43,Anthony Hubbard misses free throw 1 of 2.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,21,9,4,2,0,,,,,1,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,192,192,
1,10,43,Anthony Hubbard makes free throw 2 of 2.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,21,10,4,2,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,192,192,
1,10,31,Evan Smotrycz misses a 3-point jump shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,21,10,4,2,1,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,10,27,Shooting foul committed by Ian Chiles.,98382,,true,false,false,Ian,,Chiles,,Morgan,,21,10,5,2,2,,,,,6,,2,Shooting,8,Foul,,,,192,192,
1,10,27,Shaquille Cleare misses free throw 1 of 2.,116734,,true,false,false,Shaquille,,Cleare,,MD,,21,10,5,2,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,14,14,
1,10,27,Shaquille Cleare misses free throw 2 of 2.,116734,,true,false,false,Shaquille,,Cleare,,MD,,21,10,5,2,0,,,,,2,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,14,14,
1,9,54,Anthony Hubbard makes a layup shot.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,21,12,5,2,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,192,192,
1,9,54,Shooting foul committed by Shaquille Cleare.,116734,,true,false,false,Shaquille,,Cleare,,MD,,21,12,5,3,1,,,,,2,,2,Shooting,8,Foul,,,,14,14,
1,9,54,Anthony Hubbard makes free throw 1 of 1.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,21,13,5,3,0,,,,,5,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,192,192,
1,9,36,Shaquille Cleare makes a dunk shot.,116734,,true,false,false,Shaquille,,Cleare,,MD,,23,13,5,3,1,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,14,14,
1,9,22,Personal foul committed by Charles Mitchell.,116729,,true,false,false,Charles,,Mitchell,,MD,,23,13,5,4,1,,,,,0,,1,Personal,8,Foul,,,,14,14,
1,9,07,Cedric Blossom makes a jump shot.,116362,,true,false,false,Cedric,,Blossom,,Morgan,,23,15,5,4,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,192,192,
1,8,48,Dez Wells makes a 3-point jump shot.,109448,,true,false,false,Dez,,Wells,,MD,,27,15,5,4,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,14,14,
1,8,20,Charles Mitchell makes a layup shot.,116729,,true,false,false,Charles,,Mitchell,,MD,,29,15,5,4,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,14,14,
1,8,17,Morgan take a 20-second timeout.,,,false,false,false,,,,,,,29,15,5,4,0,,,,,0,,2,Short,11,Timeout,,,,192,192,
1,8,01,Ian Chiles misses a jump shot.,98382,,true,false,false,Ian,,Chiles,,Morgan,,29,15,5,4,2,,,,,6,2,45,Jump Shot,4,Field Goal Missed,,,,192,192,
1,7,57,Anthony Hubbard makes a layup shot.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,29,17,5,4,0,,,,,7,2,40,Layup Shot,3,Field Goal Made,,,,192,192,
1,7,34,Charles Mitchell misses a jump shot.,116729,,true,false,false,Charles,,Mitchell,,MD,,29,17,5,4,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,7,13,Offensive foul committed by Shaquille Duncan.,110322,,true,false,false,Shaquille,,Duncan,,Morgan,,29,17,6,4,2,,,,,2,,4,Offensive,8,Foul,,,,192,192,
1,7,13,Official TV timeout.,,,false,false,false,,,,,,,29,17,6,4,0,,,,,0,,3,Official TV,11,Timeout,,,,14,14,
1,6,41,Donte Pretlow misses a layup shot.,116361,,true,false,false,Donte,,Pretlow,,Morgan,,29,17,6,4,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,192,192,
1,6,31,Jake Layman makes a 3-point jump shot.,116731,,true,false,false,Jake,,Layman,,MD,,32,17,6,4,0,,,,,8,3,45,Jump Shot,3,Field Goal Made,,,,14,14,
1,6,21,Justin Black misses a 3-point jump shot.,98381,,true,false,false,Justin,,Black,,Morgan,,32,17,6,4,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,192,192,
1,6,15,Nick Faust misses a layup shot.,110907,,true,false,false,Nick,,Faust,,MD,,32,17,6,4,1,,,,,4,2,40,Layup Shot,4,Field Goal Missed,,,,14,14,
1,6,09,Shooting foul committed by Jake Layman.,116731,,true,false,false,Jake,,Layman,,MD,,32,17,6,5,1,,,,,8,,2,Shooting,8,Foul,,,,14,14,
1,6,09,Anthony Hubbard makes free throw 1 of 2.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,32,18,6,5,0,,,,,8,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,192,192,
1,6,09,Anthony Hubbard makes free throw 2 of 2.,112207,,true,false,false,Anthony,,Hubbard,,Morgan,,32,19,6,5,0,,,,,9,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,192,192,
1,5,51,Nick Faust misses a 3-point jump shot.,110907,,true,false,false,Nick,,Faust,,MD,,32,19,6,5,1,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,5,46,Evan Smotrycz makes a layup shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,34,19,6,5,1,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,14,14,
1,5,33,Shaquille Duncan misses a jump shot.,110322,,true,false,false,Shaquille,,Duncan,,Morgan,,34,19,6,5,2,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,192,192,
1,5,14,Personal foul committed by Shaquille Duncan.,110322,,true,false,false,Shaquille,,Duncan,,Morgan,,34,19,7,5,3,,,,,2,,1,Personal,8,Foul,,,,192,192,
1,5,14,Charles Mitchell makes free throw 1st of 1-and-1.,116729,,true,false,false,Charles,,Mitchell,,MD,,35,19,7,5,1,,,,,3,1,8,Free Throw 1st of 1-and-1,1,Free Throw Made,,,,14,14,
1,5,14,Charles Mitchell misses free throw 2nd of 1-and-1.,116729,,true,false,false,Charles,,Mitchell,,MD,,35,19,7,5,1,,,,,3,1,9,Free Throw 2nd of 1-and-1,2,Free Throw Missed,,,,14,14,
1,4,47,Rasean Simpson makes a 3-point jump shot.,117853,,true,false,false,Rasean,,Simpson,,Morgan,,35,22,7,5,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,192,192,
1,4,28,Justin Black makes a layup shot.,98381,,true,false,false,Justin,,Black,,Morgan,,35,24,7,5,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,192,192,
1,4,10,Jake Layman makes a 3-point jump shot.,116731,,true,false,false,Jake,,Layman,,MD,,38,24,7,5,1,,,,,11,3,45,Jump Shot,3,Field Goal Made,,,,14,14,
1,4,00,Blake Bozeman makes a 3-point jump shot.,112208,,true,false,false,Blake,,Bozeman,,Morgan,,38,27,7,5,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,192,192,
