half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,14,Akil Mitchell misses a jump shot.,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,18,33,Seth Tuttle misses a hook shot.,109796,,true,false,false,Seth,,Tuttle,,NoIa,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,202,202,
1,18,22,Darion Atkins misses a layup shot.,109419,,true,false,false,Darion,,Atkins,,UVa,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,17,17,
1,18,16,Darion Atkins makes a layup shot.,109419,,true,false,false,Darion,,Atkins,,UVa,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,17,17,
1,18,11,Offensive foul committed by Deon Mitchell.,109793,,true,false,false,Deon,,Mitchell,,NoIa,,2,0,1,0,1,,,,,0,,4,Offensive,8,Foul,,,,202,202,
1,18,00,Malcolm Brogdon misses a 3-point jump shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,2,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,17,58,Personal foul committed by Joe Harris.,97108,,true,false,false,Joe,,Harris,,UVa,,2,0,1,1,1,,,,,0,,1,Personal,8,Foul,,,,17,17,
1,17,39,Matt Bohannon misses a 3-point jump shot.,109791,,true,false,false,Matt,,Bohannon,,NoIa,,2,0,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,202,202,
1,17,20,Justin Anderson misses a 3-point jump shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,2,0,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,16,57,Seth Tuttle misses a jump shot.,109796,,true,false,false,Seth,,Tuttle,,NoIa,,2,0,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,202,202,
1,16,48,Chip Rank misses a 3-point jump shot.,97721,,true,false,false,Chip,,Rank,,NoIa,,2,0,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,202,202,
1,16,35,Seth Tuttle misses a layup shot.,109796,,true,false,false,Seth,,Tuttle,,NoIa,,2,0,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,202,202,
1,16,21,Seth Tuttle misses a 3-point jump shot.,109796,,true,false,false,Seth,,Tuttle,,NoIa,,2,0,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,202,202,
1,16,09,Akil Mitchell misses a hook shot.,97111,,true,false,false,Akil,,Mitchell,,UVa,,2,0,1,1,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,17,17,
1,15,49,Seth Tuttle misses a layup shot.,109796,,true,false,false,Seth,,Tuttle,,NoIa,,2,0,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,202,202,
1,15,45,Seth Tuttle makes a layup shot.,109796,,true,false,false,Seth,,Tuttle,,NoIa,,2,2,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,202,202,
1,15,20,Akil Mitchell misses a hook shot.,97111,,true,false,false,Akil,,Mitchell,,UVa,,2,2,1,1,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,17,17,
1,15,12,Seth Tuttle misses a 3-point jump shot.,109796,,true,false,false,Seth,,Tuttle,,NoIa,,2,2,1,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,202,202,
1,15,08,UVa take a 20-second timeout.,,,false,false,false,,,,,,,2,2,1,1,0,,,,,0,,2,Short,11,Timeout,,,,17,17,
1,14,55,Malcolm Brogdon misses a 3-point jump shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,2,2,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,14,45,Shooting foul committed by Jeremy Morgan.,120918,,true,false,false,Jeremy,,Morgan,,NoIa,,2,2,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,202,202,
1,14,45,Official TV timeout.,,,false,false,false,,,,,,,2,2,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
