half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,14,14,
1,19,31,Maurice Watson Jr. misses a layup shot.,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,3,3,
1,18,55,Offensive foul committed by D.J. Irving.,97137,,true,false,false,D.J.,,Irving,,BU,,0,0,1,0,1,,,,,0,,4,Offensive,8,Foul,,,,3,3,
1,18,39,Shaquille Cleare makes a dunk shot.,116734,,true,false,false,Shaquille,,Cleare,,MD,,2,0,1,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,14,14,
1,18,29,Offensive foul committed by D.J. Irving.,97137,,true,false,false,D.J.,,Irving,,BU,,2,0,2,0,2,,,,,0,,4,Offensive,8,Foul,,,,3,3,
1,18,18,Jake Layman misses a 3-point jump shot.,116731,,true,false,false,Jake,,Layman,,MD,,2,0,2,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,18,04,D.J. Irving makes a 3-point jump shot.,97137,,true,false,false,D.J.,,Irving,,BU,,2,3,2,0,2,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,3,3,
1,17,31,Roddy Peters misses a layup shot.,120753,,true,false,false,Roddy,,Peters,,MD,,2,3,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,14,14,
1,17,15,Nathan Dieudonne misses a 3-point jump shot.,116016,,true,false,false,Nathan,,Dieudonne,,BU,,2,3,2,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,3,3,
1,17,11,Personal foul committed by Maurice Watson Jr..,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,2,3,3,0,1,,,,,0,,1,Personal,8,Foul,,,,3,3,
1,16,53,Evan Smotrycz misses a jump shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,2,3,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,16,30,Shaquille Cleare makes a dunk shot.,116734,,true,false,false,Shaquille,,Cleare,,MD,,4,3,3,0,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,14,14,
1,16,08,John Papale misses a jump shot.,116017,,true,false,false,John,,Papale,,BU,,4,3,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,3,3,
1,15,55,Dom Morris makes a 3-point jump shot.,97143,,true,false,false,Dom,,Morris,,BU,,4,6,3,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,3,3,
1,15,35,Evan Smotrycz misses a jump shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,4,6,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,15,33,Roddy Peters misses a jump shot.,120753,,true,false,false,Roddy,,Peters,,MD,,4,6,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,15,29,Evan Smotrycz misses a jump shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,4,6,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,15,16,Nathan Dieudonne makes a jump shot.,116016,,true,false,false,Nathan,,Dieudonne,,BU,,4,8,3,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,3,3,
1,14,58,Roddy Peters misses a jump shot.,120753,,true,false,false,Roddy,,Peters,,MD,,4,8,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,14,35,Travis Robinson misses a 3-point jump shot.,97142,,true,false,false,Travis,,Robinson,,BU,,4,8,3,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,3,3,
1,14,24,Maurice Watson Jr. misses a 3-point jump shot.,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,4,8,3,0,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,3,3,
1,14,17,Shooting foul committed by Dom Morris.,97143,,true,false,false,Dom,,Morris,,BU,,4,8,4,0,1,,,,,3,,2,Shooting,8,Foul,,,,3,3,
1,14,17,Official TV timeout.,,,false,false,false,,,,,,,4,8,4,0,0,,,,,0,,3,Official TV,11,Timeout,,,,14,14,
1,14,17,Dez Wells misses free throw 1 of 2.,109448,,true,false,false,Dez,,Wells,,MD,,4,8,4,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,14,14,
1,14,17,Dez Wells makes free throw 2 of 2.,109448,,true,false,false,Dez,,Wells,,MD,,5,8,4,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,14,14,
1,14,04,Travis Robinson misses a 3-point jump shot.,97142,,true,false,false,Travis,,Robinson,,BU,,5,8,4,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,3,3,
1,13,35,Shooting foul committed by Charles Mitchell.,116729,,true,false,false,Charles,,Mitchell,,MD,,5,8,4,1,1,,,,,0,,2,Shooting,8,Foul,,,,14,14,
1,13,35,Malik Thomas makes free throw 1 of 2.,97140,,true,false,false,Malik,,Thomas,,BU,,5,9,4,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,3,3,
1,13,35,Malik Thomas misses free throw 2 of 2.,97140,,true,false,false,Malik,,Thomas,,BU,,5,9,4,1,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,3,3,
1,13,19,Shooting foul committed by Jake Layman.,116731,,true,false,false,Jake,,Layman,,MD,,5,9,4,2,1,,,,,0,,2,Shooting,8,Foul,,,,14,14,
1,13,19,Travis Robinson makes free throw 1 of 2.,97142,,true,false,false,Travis,,Robinson,,BU,,5,10,4,2,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,3,3,
1,13,19,Travis Robinson misses free throw 2 of 2.,97142,,true,false,false,Travis,,Robinson,,BU,,5,10,4,2,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,3,3,
1,13,02,Nick Faust misses a jump shot.,110907,,true,false,false,Nick,,Faust,,MD,,5,10,4,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,12,56,Dez Wells misses a jump shot.,109448,,true,false,false,Dez,,Wells,,MD,,5,10,4,2,0,,,,,1,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,12,44,Varun Ram misses a jump shot.,117981,,true,false,false,Varun,,Ram,,MD,,5,10,4,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,12,30,Personal foul committed by Varun Ram.,117981,,true,false,false,Varun,,Ram,,MD,,5,10,4,3,1,,,,,0,,1,Personal,8,Foul,,,,14,14,
1,12,30,Personal foul committed by Charles Mitchell.,116729,,true,false,false,Charles,,Mitchell,,MD,,5,10,4,4,2,,,,,0,,1,Personal,8,Foul,,,,14,14,
1,12,13,D.J. Irving makes a layup shot.,97137,,true,false,false,D.J.,,Irving,,BU,,5,12,4,4,2,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,3,3,
1,11,55,Dez Wells makes a 3-point jump shot.,109448,,true,false,false,Dez,,Wells,,MD,,8,12,4,4,0,,,,,4,3,45,Jump Shot,3,Field Goal Made,,,,14,14,
1,11,38,D.J. Irving misses a jump shot.,97137,,true,false,false,D.J.,,Irving,,BU,,8,12,4,4,2,,,,,5,2,45,Jump Shot,4,Field Goal Missed,,,,3,3,
1,11,26,Official TV timeout.,,,false,false,false,,,,,,,8,12,4,4,0,,,,,0,,3,Official TV,11,Timeout,,,,14,14,
1,11,13,D.J. Irving makes a 3-point jump shot.,97137,,true,false,false,D.J.,,Irving,,BU,,8,15,4,4,2,,,,,8,3,45,Jump Shot,3,Field Goal Made,,,,3,3,
1,10,55,Jake Layman makes a 3-point jump shot.,116731,,true,false,false,Jake,,Layman,,MD,,11,15,4,4,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,14,14,
1,10,36,Cedric Hankerson makes a layup shot.,121567,,true,false,false,Cedric,,Hankerson,,BU,,11,17,4,4,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,3,3,
1,10,13,Nick Faust makes a 3-point jump shot.,110907,,true,false,false,Nick,,Faust,,MD,,14,17,4,4,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,14,14,
1,9,46,Jake Layman makes a layup shot.,116731,,true,false,false,Jake,,Layman,,MD,,16,17,4,4,1,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,14,14,
1,9,22,Personal foul committed by Nick Faust.,110907,,true,false,false,Nick,,Faust,,MD,,16,17,4,5,1,,,,,3,,1,Personal,8,Foul,,,,14,14,
1,9,04,Dom Morris misses a jump shot.,97143,,true,false,false,Dom,,Morris,,BU,,16,17,4,5,1,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,3,3,
1,8,55,Evan Smotrycz misses a jump shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,16,17,4,5,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,8,30,Evan Smotrycz makes a layup shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,18,17,4,5,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,14,14,
1,8,07,Maurice Watson Jr. misses a 3-point jump shot.,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,18,17,4,5,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,3,3,
1,7,37,John Papale makes a 3-point jump shot.,116017,,true,false,false,John,,Papale,,BU,,18,20,4,5,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,3,3,
1,7,13,Nick Faust misses a jump shot.,110907,,true,false,false,Nick,,Faust,,MD,,18,20,4,5,1,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,7,04,Cedric Hankerson misses a 3-point jump shot.,121567,,true,false,false,Cedric,,Hankerson,,BU,,18,20,4,5,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,3,3,
1,7,00,Official TV timeout.,,,false,false,false,,,,,,,18,20,4,5,0,,,,,0,,3,Official TV,11,Timeout,,,,14,14,
1,6,39,Dom Morris makes a layup shot.,97143,,true,false,false,Dom,,Morris,,BU,,18,22,4,5,1,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,3,3,
1,6,39,Shooting foul committed by Shaquille Cleare.,116734,,true,false,false,Shaquille,,Cleare,,MD,,18,22,4,6,1,,,,,4,,2,Shooting,8,Foul,,,,14,14,
