half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,48,Tyler Cavanaugh misses a 3-point jump shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,19,48,Personal foul committed by William Truss.,112518,,true,false,false,William,,Truss,,Presby,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,726,726,
1,19,35,Travis McKie misses a 3-point jump shot.,97115,,true,false,false,Travis,,McKie,,Wake,,0,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,19,19,Jordan Downing misses a 3-point jump shot.,98241,,true,false,false,Jordan,,Downing,,Presby,,0,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,726,726,
1,19,00,Shooting foul committed by Ed Drew.,122154,,true,false,false,Ed,,Drew,,Presby,,0,0,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,726,726,
1,19,00,Tyler Cavanaugh makes free throw 1 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,1,0,2,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,19,00,Tyler Cavanaugh makes free throw 2 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,2,0,2,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,18,18,
1,18,33,Reggie Dillard makes a 3-point jump shot.,121056,,true,false,false,Reggie,,Dillard,,Presby,,2,3,2,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,726,726,
1,18,08,Codi Miller-McIntyre makes a 3-point jump shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,5,3,2,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,18,18,
1,17,31,Reggie Dillard misses a jump shot.,121056,,true,false,false,Reggie,,Dillard,,Presby,,5,3,2,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,726,726,
1,17,23,Madison Jones misses a layup shot.,116009,,true,false,false,Madison,,Jones,,Wake,,5,3,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,18,18,
1,17,17,Markus Terry misses a jump shot.,121057,,true,false,false,Markus,,Terry,,Presby,,5,3,2,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,726,726,
1,17,12,Markus Terry misses a layup shot.,121057,,true,false,false,Markus,,Terry,,Presby,,5,3,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,726,726,
1,16,41,Codi Miller-McIntyre misses a 3-point jump shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,5,3,2,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,16,36,Travis McKie makes a layup shot.,97115,,true,false,false,Travis,,McKie,,Wake,,7,3,2,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,16,02,Markus Terry misses a jump shot.,121057,,true,false,false,Markus,,Terry,,Presby,,7,3,2,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,726,726,
1,15,56,Codi Miller-McIntyre makes a layup shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,9,3,2,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,15,56,Shooting foul committed by William Truss.,112518,,true,false,false,William,,Truss,,Presby,,9,3,3,0,2,,,,,0,,2,Shooting,8,Foul,,,,726,726,
1,15,56,Official TV timeout.,,,false,false,false,,,,,,,9,3,3,0,0,,,,,0,,3,Official TV,11,Timeout,,,,18,18,
1,15,56,Codi Miller-McIntyre makes free throw 1 of 1.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,10,3,3,0,0,,,,,6,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,18,18,
1,15,39,Shooting foul committed by Madison Jones.,116009,,true,false,false,Madison,,Jones,,Wake,,10,3,3,1,1,,,,,0,,2,Shooting,8,Foul,,,,18,18,
1,15,39,Reggie Dillard makes free throw 1 of 2.,121056,,true,false,false,Reggie,,Dillard,,Presby,,10,4,3,1,0,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,726,726,
1,15,39,Reggie Dillard makes free throw 2 of 2.,121056,,true,false,false,Reggie,,Dillard,,Presby,,10,5,3,1,0,,,,,5,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,726,726,
1,14,53,Shooting foul committed by Ed Drew.,122154,,true,false,false,Ed,,Drew,,Presby,,10,5,4,1,2,,,,,0,,2,Shooting,8,Foul,,,,726,726,
1,14,53,Codi Miller-McIntyre makes free throw 1 of 2.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,11,5,4,1,0,,,,,7,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,14,53,Codi Miller-McIntyre makes free throw 2 of 2.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,12,5,4,1,0,,,,,8,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,18,18,
1,14,35,Jordan Downing makes a layup shot.,98241,,true,false,false,Jordan,,Downing,,Presby,,12,7,4,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,726,726,
