half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,134,134,
1,19,05,Personal foul committed by Anthony Gill.,109947,,true,false,false,Anthony,,Gill,,UVa,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,17,17,
1,18,59,Greg Mays misses a jump shot.,110630,,true,false,false,Greg,,Mays,,GB,,0,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,134,134,
1,18,30,Greg Mays makes a dunk shot.,110630,,true,false,false,Greg,,Mays,,GB,,2,0,1,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,134,134,
1,18,09,Joe Harris makes a 3-point jump shot.,97108,,true,false,false,Joe,,Harris,,UVa,,2,3,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,17,57,Greg Mays makes a jump shot.,110630,,true,false,false,Greg,,Mays,,GB,,4,3,1,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,134,134,
1,17,49,Akil Mitchell makes a layup shot.,97111,,true,false,false,Akil,,Mitchell,,UVa,,4,5,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,17,17,
1,17,25,Personal foul committed by Malcolm Brogdon.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,4,5,2,0,1,,,,,0,,1,Personal,8,Foul,,,,17,17,
1,17,02,Malcolm Brogdon misses a 3-point jump shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,4,5,2,0,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,16,59,Anthony Gill makes a tip shot.,109947,,true,false,false,Anthony,,Gill,,UVa,,4,7,2,0,1,,,,,2,2,53,Tip Shot,3,Field Goal Made,,,,17,17,
1,16,49,Personal foul committed by Joe Harris.,97108,,true,false,false,Joe,,Harris,,UVa,,4,7,3,0,1,,,,,3,,1,Personal,8,Foul,,,,17,17,
1,16,46,Greg Mays misses a layup shot.,110630,,true,false,false,Greg,,Mays,,GB,,4,7,3,0,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,,,,134,134,
1,16,28,Anthony Gill makes a hook shot.,109947,,true,false,false,Anthony,,Gill,,UVa,,4,9,3,0,1,,,,,4,2,55,Hook Shot,3,Field Goal Made,,,,17,17,
1,15,58,Alec Brown makes a 3-point jump shot.,97179,,true,false,false,Alec,,Brown,,GB,,7,9,3,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,134,134,
1,15,43,Malcolm Brogdon makes a layup shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,7,11,3,0,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,17,17,
1,15,32,Alec Brown makes a jump shot.,97179,,true,false,false,Alec,,Brown,,GB,,9,11,3,0,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,134,134,
1,15,12,London Perrantes misses a 3-point jump shot.,120610,,true,false,false,London,,Perrantes,,UVa,,9,11,3,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,15,05,Greg Mays misses a layup shot.,110630,,true,false,false,Greg,,Mays,,GB,,9,11,3,0,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,,,,134,134,
1,15,02,Official TV timeout.,,,false,false,false,,,,,,,9,11,3,0,0,,,,,0,,3,Official TV,11,Timeout,,,,134,134,
1,14,27,London Perrantes misses a 3-point jump shot.,120610,,true,false,false,London,,Perrantes,,UVa,,9,11,3,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,14,08,Alec Brown makes a hook shot.,97179,,true,false,false,Alec,,Brown,,GB,,11,11,3,0,0,,,,,7,2,55,Hook Shot,3,Field Goal Made,,,,134,134,
1,13,53,Personal foul committed by Greg Mays.,110630,,true,false,false,Greg,,Mays,,GB,,11,11,3,1,1,,,,,4,,1,Personal,8,Foul,,,,134,134,
1,13,28,Shooting foul committed by Joe Harris.,97108,,true,false,false,Joe,,Harris,,UVa,,11,11,4,1,2,,,,,3,,2,Shooting,8,Foul,,,,17,17,
1,13,28,Keifer Sykes makes free throw 1 of 2.,110631,,true,false,false,Keifer,,Sykes,,GB,,12,11,4,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,134,134,
1,13,28,Keifer Sykes makes free throw 2 of 2.,110631,,true,false,false,Keifer,,Sykes,,GB,,13,11,4,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,134,134,
1,12,58,Keifer Sykes makes a layup shot.,110631,,true,false,false,Keifer,,Sykes,,GB,,15,11,4,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,134,134,
1,11,53,Carrington Love misses a layup shot.,116300,,true,false,false,Carrington,,Love,,GB,,15,11,4,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,134,134,
1,11,52,Personal foul committed by Alec Brown.,97179,,true,false,false,Alec,,Brown,,GB,,15,11,4,2,1,,,,,7,,1,Personal,8,Foul,,,,134,134,
1,11,52,Official TV timeout.,,,false,false,false,,,,,,,15,11,4,2,0,,,,,0,,3,Official TV,11,Timeout,,,,134,134,
1,11,35,Justin Anderson misses a jump shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,15,11,4,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,11,17,Lamin Fulton misses a 3-point jump shot.,110817,,true,false,false,Lamin,,Fulton,,GB,,15,11,4,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,134,134,
1,11,04,Malcolm Brogdon makes a 3-point jump shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,15,14,4,2,1,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,10,39,Greg Mays makes a jump shot.,110630,,true,false,false,Greg,,Mays,,GB,,17,14,4,2,1,,,,,6,2,45,Jump Shot,3,Field Goal Made,,,,134,134,
1,10,08,Malcolm Brogdon makes a 3-point jump shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,17,17,4,2,1,,,,,8,3,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,9,31,Justin Anderson misses a dunk shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,17,17,4,2,0,,,,,0,2,48,Dunk Shot,4,Field Goal Missed,,,,17,17,
1,9,26,Shooting foul committed by Mike Tobey.,116698,,true,false,false,Mike,,Tobey,,UVa,,17,17,5,2,1,,,,,0,,2,Shooting,8,Foul,,,,17,17,
1,9,26,Greg Mays makes free throw 1 of 2.,110630,,true,false,false,Greg,,Mays,,GB,,18,17,5,2,1,,,,,7,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,134,134,
1,9,26,Greg Mays misses free throw 2 of 2.,110630,,true,false,false,Greg,,Mays,,GB,,18,17,5,2,1,,,,,7,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,134,134,
1,9,01,Vincent Garrett misses a layup shot.,116618,,true,false,false,Vincent,,Garrett,,GB,,18,17,5,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,134,134,
1,8,54,Personal foul committed by Vincent Garrett.,116618,,true,false,false,Vincent,,Garrett,,GB,,18,17,5,3,1,,,,,0,,1,Personal,8,Foul,,,,134,134,
1,8,54,Akil Mitchell makes free throw 1 of 2.,97111,,true,false,false,Akil,,Mitchell,,UVa,,18,18,5,3,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,17,17,
1,8,54,Akil Mitchell makes free throw 2 of 2.,97111,,true,false,false,Akil,,Mitchell,,UVa,,18,19,5,3,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,17,17,
1,8,43,Greg Mays makes a jump shot.,110630,,true,false,false,Greg,,Mays,,GB,,20,19,5,3,1,,,,,9,2,45,Jump Shot,3,Field Goal Made,,,,134,134,
1,8,28,Personal foul committed by Lamin Fulton.,110817,,true,false,false,Lamin,,Fulton,,GB,,20,19,5,4,1,,,,,0,,1,Personal,8,Foul,,,,134,134,
1,8,11,Shooting foul committed by Kenneth Lowe.,121271,,true,false,false,Kenneth,,Lowe,,GB,,20,19,5,5,1,,,,,0,,2,Shooting,8,Foul,,,,134,134,
1,8,11,Justin Anderson makes free throw 1 of 2.,116701,,true,false,false,Justin,,Anderson,,UVa,,20,20,5,5,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,17,17,
1,8,11,Justin Anderson makes free throw 2 of 2.,116701,,true,false,false,Justin,,Anderson,,UVa,,20,21,5,5,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,17,17,
1,7,39,Josh Humphrey makes a jump shot.,110629,,true,false,false,Josh,,Humphrey,,GB,,22,21,5,5,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,134,134,
1,7,24,Shooting foul committed by Kenneth Lowe.,121271,,true,false,false,Kenneth,,Lowe,,GB,,22,21,5,6,2,,,,,0,,2,Shooting,8,Foul,,,,134,134,
1,7,24,Official TV timeout.,,,false,false,false,,,,,,,22,21,5,6,0,,,,,0,,3,Official TV,11,Timeout,,,,134,134,
1,7,24,Akil Mitchell makes free throw 1 of 2.,97111,,true,false,false,Akil,,Mitchell,,UVa,,22,22,5,6,0,,,,,5,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,17,17,
