half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,242,242,
1,19,46,Tyler Cavanaugh misses a hook shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,18,18,
1,19,34,Nikola Jovanovic makes a hook shot.,120698,,true,false,false,Nikola,,Jovanovic,,USC,,2,0,0,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,,,,242,242,
1,19,10,Devin Thomas misses a jump shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,19,06,Tyler Cavanaugh makes a layup shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,18,48,Nikola Jovanovic misses a layup shot.,120698,,true,false,false,Nikola,,Jovanovic,,USC,,2,2,0,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,242,242,
1,18,37,Madison Jones makes a layup shot.,116009,,true,false,false,Madison,,Jones,,Wake,,2,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,18,37,Shooting foul committed by Byron Wesley.,110217,,true,false,false,Byron,,Wesley,,USC,,2,4,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,242,242,
1,18,37,Madison Jones misses free throw 1 of 1.,116009,,true,false,false,Madison,,Jones,,Wake,,2,4,0,1,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,18,18,
1,18,16,Nikola Jovanovic makes a layup shot.,120698,,true,false,false,Nikola,,Jovanovic,,USC,,4,4,0,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,242,242,
1,18,08,Codi Miller-McIntyre misses a layup shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,4,4,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,18,18,
1,18,03,Pe'Shon Howard makes a layup shot.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,6,4,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,242,242,
1,18,02,Shooting foul committed by Tyler Cavanaugh.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,6,4,1,1,1,,,,,2,,2,Shooting,8,Foul,,,,18,18,
1,18,02,Pe'Shon Howard makes free throw 1 of 1.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,7,4,1,1,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,242,242,
1,17,26,Nikola Jovanovic misses a 3-point jump shot.,120698,,true,false,false,Nikola,,Jovanovic,,USC,,7,4,1,1,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,17,12,Pe'Shon Howard misses a 3-point jump shot.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,7,4,1,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,16,59,Codi Miller-McIntyre makes a 3-point jump shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,7,7,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,18,18,
1,16,24,Personal foul committed by Madison Jones.,116009,,true,false,false,Madison,,Jones,,Wake,,7,7,2,1,1,,,,,2,,1,Personal,8,Foul,,,,18,18,
1,16,22,Pe'Shon Howard makes a jump shot.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,9,7,2,1,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,242,242,
1,16,13,Devin Thomas makes a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,9,9,2,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,16,01,Pe'Shon Howard misses a 3-point jump shot.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,9,9,2,1,0,,,,,5,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,15,53,Travis McKie misses a 3-point jump shot.,97115,,true,false,false,Travis,,McKie,,Wake,,9,9,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,15,42,Roschon Prince misses a 3-point jump shot.,120700,,true,false,false,Roschon,,Prince,,USC,,9,9,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,15,25,Tyler Cavanaugh makes a layup shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,9,11,2,1,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,15,06,Byron Wesley misses a 3-point jump shot.,110217,,true,false,false,Byron,,Wesley,,USC,,9,11,2,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,14,58,Tyler Cavanaugh misses a 3-point jump shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,9,11,2,1,1,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,14,50,Tyler Cavanaugh misses a 3-point jump shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,9,11,2,1,1,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,14,39,Shooting foul committed by Omar Oraby.,97487,,true,false,false,Omar,,Oraby,,USC,,9,11,2,2,1,,,,,0,,2,Shooting,8,Foul,,,,242,242,
1,14,39,Official TV timeout.,,,false,false,false,,,,,,,9,11,2,2,0,,,,,0,,3,Official TV,11,Timeout,,,,242,242,
1,14,39,Madison Jones misses free throw 1 of 2.,116009,,true,false,false,Madison,,Jones,,Wake,,9,11,2,2,1,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,18,18,
1,14,39,Madison Jones misses free throw 2 of 2.,116009,,true,false,false,Madison,,Jones,,Wake,,9,11,2,2,1,,,,,2,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,18,18,
1,14,15,Codi Miller-McIntyre misses a jump shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,9,11,2,2,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,14,03,Chass Bryan makes a 3-point jump shot.,117973,,true,false,false,Chass,,Bryan,,USC,,12,11,2,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,242,242,
1,13,49,Personal foul committed by Pe'Shon Howard.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,12,11,2,3,1,,,,,5,,1,Personal,8,Foul,,,,242,242,
1,13,34,Offensive foul committed by Arnaud-William Adala Moto.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,12,11,3,3,1,,,,,0,,4,Offensive,8,Foul,,,,18,18,
1,13,16,D.J. Haley misses a hook shot.,97685,,true,false,false,D.J.,,Haley,,USC,,12,11,3,3,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,242,242,
1,13,10,Strahinja Gavrilovic misses a layup shot.,116669,,true,false,false,Strahinja,,Gavrilovic,,USC,,12,11,3,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,242,242,
1,13,00,Andre Washington makes a hook shot.,116011,,true,false,false,Andre,,Washington,,Wake,,12,13,3,3,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,,,,18,18,
1,12,33,Coron Williams misses a jump shot.,89416,,true,false,false,Coron,,Williams,,Wake,,12,13,3,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,12,27,Arnaud-William Adala Moto makes a layup shot.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,12,15,3,3,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,12,07,Byron Wesley makes a layup shot.,110217,,true,false,false,Byron,,Wesley,,USC,,14,15,3,3,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,242,242,
1,11,57,Shooting foul committed by Strahinja Gavrilovic.,116669,,true,false,false,Strahinja,,Gavrilovic,,USC,,14,15,3,4,1,,,,,0,,2,Shooting,8,Foul,,,,242,242,
1,11,57,Official TV timeout.,,,false,false,false,,,,,,,14,15,3,4,0,,,,,0,,3,Official TV,11,Timeout,,,,242,242,
1,11,57,Codi Miller-McIntyre makes free throw 1 of 2.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,14,16,3,4,0,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,11,57,Codi Miller-McIntyre makes free throw 2 of 2.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,14,17,3,4,0,,,,,5,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,18,18,
1,11,18,Madison Jones makes a layup shot.,116009,,true,false,false,Madison,,Jones,,Wake,,14,19,3,4,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,10,50,Byron Wesley misses a 3-point jump shot.,110217,,true,false,false,Byron,,Wesley,,USC,,14,19,3,4,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,10,41,Coron Williams makes a jump shot.,89416,,true,false,false,Coron,,Williams,,Wake,,14,21,3,4,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,18,18,
1,10,38,USC take a 20-second timeout.,,,false,false,false,,,,,,,14,21,3,4,0,,,,,0,,2,Short,11,Timeout,,,,242,242,
1,10,21,Julian Jacobs misses a 3-point jump shot.,120697,,true,false,false,Julian,,Jacobs,,USC,,14,21,3,4,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,10,05,Coron Williams misses a 3-point jump shot.,89416,,true,false,false,Coron,,Williams,,Wake,,14,21,3,4,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,9,21,Coron Williams makes a 3-point jump shot.,89416,,true,false,false,Coron,,Williams,,Wake,,14,24,3,4,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,18,18,
1,8,59,Chass Bryan misses a layup shot.,117973,,true,false,false,Chass,,Bryan,,USC,,14,24,3,4,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,,,,242,242,
1,8,56,Shooting foul committed by Arnaud-William Adala Moto.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,14,24,4,4,2,,,,,2,,2,Shooting,8,Foul,,,,18,18,
1,8,56,Strahinja Gavrilovic misses free throw 1 of 2.,116669,,true,false,false,Strahinja,,Gavrilovic,,USC,,14,24,4,4,1,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,242,242,
1,8,56,Strahinja Gavrilovic makes free throw 2 of 2.,116669,,true,false,false,Strahinja,,Gavrilovic,,USC,,15,24,4,4,1,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,242,242,
1,8,41,Devin Thomas makes a jump shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,15,26,4,4,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,18,18,
1,8,29,Shooting foul committed by Devin Thomas.,116010,,true,false,false,Devin,,Thomas,,Wake,,15,26,5,4,1,,,,,4,,2,Shooting,8,Foul,,,,18,18,
1,8,29,Omar Oraby makes free throw 1 of 2.,97487,,true,false,false,Omar,,Oraby,,USC,,16,26,5,4,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,242,242,
1,8,29,Omar Oraby misses free throw 2 of 2.,97487,,true,false,false,Omar,,Oraby,,USC,,16,26,5,4,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,242,242,
1,8,06,Miles Overton makes a 3-point jump shot.,120612,,true,false,false,Miles,,Overton,,Wake,,16,29,5,4,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,18,18,
1,7,44,Official TV timeout.,,,false,false,false,,,,,,,16,29,5,4,0,,,,,0,,3,Official TV,11,Timeout,,,,242,242,
1,7,19,Julian Jacobs misses a 3-point jump shot.,120697,,true,false,false,Julian,,Jacobs,,USC,,16,29,5,4,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,6,54,Shooting foul committed by Tyler Cavanaugh.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,16,29,6,4,2,,,,,4,,2,Shooting,8,Foul,,,,18,18,
1,6,54,Omar Oraby misses free throw 1 of 2.,97487,,true,false,false,Omar,,Oraby,,USC,,16,29,6,4,1,,,,,1,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,242,242,
1,6,54,Omar Oraby misses free throw 2 of 2.,97487,,true,false,false,Omar,,Oraby,,USC,,16,29,6,4,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,242,242,
1,6,26,Shooting foul committed by Roschon Prince.,120700,,true,false,false,Roschon,,Prince,,USC,,16,29,6,5,1,,,,,0,,2,Shooting,8,Foul,,,,242,242,
1,6,26,Miles Overton makes free throw 1 of 2.,120612,,true,false,false,Miles,,Overton,,Wake,,16,30,6,5,0,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,6,26,Miles Overton misses free throw 2 of 2.,120612,,true,false,false,Miles,,Overton,,Wake,,16,30,6,5,0,,,,,4,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,18,18,
1,6,15,Offensive foul committed by Devin Thomas.,116010,,true,false,false,Devin,,Thomas,,Wake,,16,30,7,5,2,,,,,4,,4,Offensive,8,Foul,,,,18,18,
1,6,03,Pe'Shon Howard misses a 3-point jump shot.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,16,30,7,5,1,,,,,5,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,5,57,Devin Thomas makes a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,16,32,7,5,2,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,5,36,Miles Overton misses a 3-point jump shot.,120612,,true,false,false,Miles,,Overton,,Wake,,16,32,7,5,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,5,24,Pe'Shon Howard misses a layup shot.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,16,32,7,5,1,,,,,5,2,40,Layup Shot,4,Field Goal Missed,,,,242,242,
1,4,54,Byron Wesley makes a layup shot.,110217,,true,false,false,Byron,,Wesley,,USC,,18,32,7,5,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,242,242,
1,4,53,Wake take a 20-second timeout.,,,false,false,false,,,,,,,18,32,7,5,0,,,,,0,,2,Short,11,Timeout,,,,18,18,
1,4,20,Codi Miller-McIntyre misses a 3-point jump shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,18,32,7,5,0,,,,,5,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
