half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,54,54,
1,19,45,Javonte Green makes a layup shot.,111814,,true,false,false,Javonte,,Green,,Rad,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,70,70,
1,19,21,Javonte Green misses a jump shot.,111814,,true,false,false,Javonte,,Green,,Rad,,0,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,70,70,
1,19,07,C.J. Barksdale makes a layup shot.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,54,54,
1,18,51,R.J. Price misses a 3-point jump shot.,111815,,true,false,false,R.J.,,Price,,Rad,,2,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,70,70,
1,18,47,Devin Wilson misses a jump shot.,120763,,true,false,false,Devin,,Wilson,,VaTech,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,18,38,Javonte Green misses a 3-point jump shot.,111814,,true,false,false,Javonte,,Green,,Rad,,2,2,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,70,70,
1,17,53,Adam Smith misses a jump shot.,110601,,true,false,false,Adam,,Smith,,VaTech,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,17,30,R.J. Price misses a jump shot.,111815,,true,false,false,R.J.,,Price,,Rad,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,70,70,
1,17,06,Adam Smith makes a 3-point jump shot.,110601,,true,false,false,Adam,,Smith,,VaTech,,5,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,54,54,
1,17,03,Ya Ya Anderson makes a 3-point jump shot.,116961,,true,false,false,Ya Ya,,Anderson,,Rad,,5,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,70,70,
1,17,01,Adam Smith misses a 3-point jump shot.,110601,,true,false,false,Adam,,Smith,,VaTech,,5,5,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,17,00,Devin Wilson makes a 3-point jump shot.,120763,,true,false,false,Devin,,Wilson,,VaTech,,8,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,54,54,
1,16,25,Marshall Wood makes a layup shot.,116704,,true,false,false,Marshall,,Wood,,VaTech,,10,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,54,54,
1,16,25,Shooting foul committed by Rashun Davis.,116960,,true,false,false,Rashun,,Davis,,Rad,,10,5,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,70,70,
1,16,25,Marshall Wood makes free throw 1 of 1.,116704,,true,false,false,Marshall,,Wood,,VaTech,,11,5,1,0,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,54,54,
1,16,09,Offensive foul committed by Kion Brown.,116958,,true,false,false,Kion,,Brown,,Rad,,11,5,2,0,1,,,,,0,,4,Offensive,8,Foul,,,,70,70,
1,15,53,Shooting foul committed by Ya Ya Anderson.,116961,,true,false,false,Ya Ya,,Anderson,,Rad,,11,5,3,0,1,,,,,3,,2,Shooting,8,Foul,,,,70,70,
1,15,53,Official TV timeout.,,,false,false,false,,,,,,,11,5,3,0,0,,,,,0,,3,Official TV,11,Timeout,,,,54,54,
1,15,53,Will Johnston misses free throw 1 of 2.,114787,,true,false,false,Will,,Johnston,,VaTech,,11,5,3,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,54,54,
1,15,53,Will Johnston makes free throw 2 of 2.,114787,,true,false,false,Will,,Johnston,,VaTech,,12,5,3,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,54,54,
1,15,37,Devin Wilson makes a jump shot.,120763,,true,false,false,Devin,,Wilson,,VaTech,,14,5,3,0,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,54,54,
1,15,28,Rashun Davis misses a jump shot.,116960,,true,false,false,Rashun,,Davis,,Rad,,14,5,3,0,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,70,70,
1,15,18,Jarell Eddie misses a 3-point jump shot.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,14,5,3,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,15,11,Marshall Wood makes a layup shot.,116704,,true,false,false,Marshall,,Wood,,VaTech,,16,5,3,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,54,54,
1,15,11,Rad take a 20-second timeout.,,,false,false,false,,,,,,,16,5,3,0,0,,,,,0,,2,Short,11,Timeout,,,,70,70,
1,14,50,Jalen Carethers misses a jump shot.,111817,,true,false,false,Jalen,,Carethers,,Rad,,16,5,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,70,70,
1,14,25,Jarell Eddie makes a layup shot.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,18,5,3,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,54,54,
1,14,00,Kion Brown misses a jump shot.,116958,,true,false,false,Kion,,Brown,,Rad,,18,5,3,0,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,70,70,
1,13,45,Adam Smith makes a layup shot.,110601,,true,false,false,Adam,,Smith,,VaTech,,20,5,3,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,54,54,
1,13,26,Jalen Carethers misses a jump shot.,111817,,true,false,false,Jalen,,Carethers,,Rad,,20,5,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,70,70,
1,13,01,Jarell Eddie makes a dunk shot.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,22,5,3,0,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,54,54,
1,13,01,Shooting foul committed by Jalen Carethers.,111817,,true,false,false,Jalen,,Carethers,,Rad,,22,5,4,0,1,,,,,0,,2,Shooting,8,Foul,,,,70,70,
1,13,00,Jarell Eddie makes free throw 1 of 1.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,23,5,4,0,0,,,,,5,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,54,54,
1,12,44,Javonte Green makes a dunk shot.,111814,,true,false,false,Javonte,,Green,,Rad,,23,7,4,0,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,70,70,
1,12,30,Offensive foul committed by Trevor Thompson.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,23,7,4,1,1,,,,,0,,4,Offensive,8,Foul,,,,54,54,
1,12,02,R.J. Price misses a jump shot.,111815,,true,false,false,R.J.,,Price,,Rad,,23,7,4,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,70,70,
